Precompiling Pkg...
   3490.6 ms  ✓ OpenSpecFun_jll
   2283.8 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2011.5 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   4083.3 ms  ✓ SharedArrays
   2684.7 ms  ✓ Pixman_jll
   2898.2 ms  ✓ FreeType2_jll
   3802.9 ms  ✓ ProgressMeter
   3580.9 ms  ✓ StructArrays
   3090.7 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   3682.9 ms  ✓ Rmath
   2492.9 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   4010.4 ms  ✓ FilePaths
   3203.3 ms  ✓ OpenEXR_jll
   2583.4 ms  ✓ SortingAlgorithms
   2902.3 ms  ✓ libsixel_jll
   2421.8 ms  ✓ SuiteSparse
   3299.4 ms  ✓ libvorbis_jll
   2911.1 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2782.0 ms  ✓ Statistics → SparseArraysExt
   4811.9 ms  ✓ QuadGK
   2622.7 ms  ✓ FFTW_jll
   3317.6 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   6512.4 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   3192.1 ms  ✓ Libtiff_jll
   2474.8 ms  ✓ Isoband
   3497.5 ms  ✓ Libgcrypt_jll
  10707.6 ms  ✓ ColorTypes
   3214.4 ms  ✓ XML2_jll
   3006.5 ms  ✓ AxisAlgorithms
   2381.9 ms  ✓ SignedDistanceFields
   3181.3 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   6195.7 ms  ✓ MKL_jll
  11196.6 ms  ✓ IntervalArithmetic
   3687.6 ms  ✓ Fontconfig_jll
   6388.3 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   3610.0 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   5089.0 ms  ✓ StructArrays → StructArraysAdaptExt
   5489.0 ms  ✓ StructArrays → StructArraysSparseArraysExt
   8010.8 ms  ✓ FilePathsBase → FilePathsBaseTestExt
   7694.9 ms  ✓ FreeType
   6705.0 ms  ✓ PDMats
   4285.9 ms  ✓ Gettext_jll
   3907.0 ms  ✓ XSLT_jll
   6823.0 ms  ✓ QOI
   3480.5 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   2603.1 ms  ✓ FillArrays → FillArraysPDMatsExt
  11103.4 ms  ✓ SpecialFunctions
  48910.1 ms  ✓ StyledStrings
   3020.0 ms  ✓ Glib_jll
  11179.3 ms  ✓ StatsBase
   4313.3 ms  ✓ Xorg_libxcb_jll
  10224.4 ms  ✓ ColorVectorSpace
   3520.9 ms  ✓ HypergeometricFunctions
   3074.5 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   3875.7 ms  ✓ Xorg_libX11_jll
  30417.5 ms  ✓ StaticArrays
   8510.7 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
  32687.4 ms  ✓ SIMD
   3687.7 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3815.4 ms  ✓ Xorg_libXrender_jll
   3878.8 ms  ✓ StructArrays → StructArraysStaticArraysExt
   4007.7 ms  ✓ Xorg_libXext_jll
   4122.9 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   7888.3 ms  ✓ StatsFuns
   4502.3 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   4695.7 ms  ✓ Adapt → AdaptStaticArraysExt
  18619.4 ms  ✓ Colors
   2891.4 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   3404.3 ms  ✓ Cairo_jll
   3611.5 ms  ✓ Libglvnd_jll
   2869.1 ms  ✓ Graphics
   3007.7 ms  ✓ Animations
   3612.3 ms  ✓ HarfBuzz_jll
   7496.1 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
   4108.4 ms  ✓ libwebp_jll
   7107.6 ms  ✓ OpenEXR
   4501.9 ms  ✓ libass_jll
   6508.3 ms  ✓ Pango_jll
  13791.0 ms  ✓ Interpolations
  21317.4 ms  ✓ ExactPredicates
   5491.4 ms  ✓ FFMPEG_jll
  14295.5 ms  ✓ ColorSchemes
  35595.1 ms  ✓ FFTW
   7494.6 ms  ✓ Cairo
  22581.8 ms  ✓ Distributions
  28108.0 ms  ✓ GeometryBasics
   6117.3 ms  ✓ Distributions → DistributionsTestExt
   7299.3 ms  ✓ Distributions → DistributionsChainRulesCoreExt
  87294.2 ms  ✓ Unitful
   3008.5 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   3012.5 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   5096.3 ms  ✓ Packing
   5791.9 ms  ✓ ShaderAbstractions
   4804.1 ms  ✓ Interpolations → InterpolationsUnitfulExt
   7494.0 ms  ✓ KernelDensity
  10812.8 ms  ✓ FreeTypeAbstraction
  24991.8 ms  ✓ DelaunayTriangulation
  20578.0 ms  ✓ MakieCore
  51037.4 ms  ✓ Automa
  84780.5 ms  ✓ Parsers
  23008.2 ms  ✓ GridLayoutBase
   1845.7 ms  ✓ JSON
    976.6 ms  ✓ ColorBrewer
  37199.0 ms  ✓ PlotUtils
  55875.5 ms  ✓ ImageCore
   2353.0 ms  ✓ ImageBase
   2844.8 ms  ✓ WebP
   4256.0 ms  ✓ JpegTurbo
   4276.7 ms  ✓ PNGFiles
   2200.0 ms  ✓ ImageAxes
    866.1 ms  ✓ ImageMetadata
   1439.8 ms  ✓ Netpbm
  92326.0 ms  ✓ REPL
   1082.9 ms  ✓ UnicodeFun
   5578.6 ms  ✓ Pkg → REPLExt
   7570.2 ms  ✓ Sixel
  99116.6 ms  ✓ TiffImages
  10730.1 ms  ✓ MathTeXEngine
    800.8 ms  ✓ ImageIO
  86735.3 ms  ✓ Makie
  28122.8 ms  ✓ CairoMakie
  247 dependencies successfully precompiled in 277 seconds. 23 already precompiled.
	Command being timed: "julia +1.11.2 --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 918.29
	System time (seconds): 61.51
	Percent of CPU this job got: 303%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 5:22.48
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 4031716
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 1088
