nice: cannot set niceness: Permission denied
Precompiling packages...
   4200.1 ms  ✓ SimpleTraits
   2617.6 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
  30073.4 ms  ✓ SparseArrays
   3198.6 ms  ✓ SortingAlgorithms
   2478.6 ms  ✓ StructUtils → StructUtilsTablesExt
   6091.9 ms  ✓ FilePathsBase
   3593.9 ms  ✓ Pixman_jll
   3918.3 ms  ✓ libdrm_jll
   2602.0 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   3701.2 ms  ✓ FreeType2_jll
   3991.2 ms  ✓ Rmath
   3599.1 ms  ✓ SharedArrays
   4489.4 ms  ✓ OpenEXR_jll
   3201.8 ms  ✓ CRlibm
   4604.0 ms  ✓ ProgressMeter
   3491.9 ms  ✓ libsixel_jll
   3978.0 ms  ✓ libvorbis_jll
   2292.4 ms  ✓ Isoband
   3822.8 ms  ✓ Libtiff_jll
  10813.4 ms  ✓ StructArrays
  11895.8 ms  ✓ QuadGK
  13678.0 ms  ✓ ChainRulesCore
   3479.9 ms  ✓ WoodburyMatrices
   4189.9 ms  ✓ GettextRuntime_jll
   3325.6 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2914.7 ms  ✓ Statistics → SparseArraysExt
   3078.4 ms  ✓ SuiteSparse
   3180.3 ms  ✓ Adapt → AdaptSparseArraysExt
   3181.4 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   4015.3 ms  ✓ FilePaths
  13713.8 ms  ✓ ColorTypes
   2674.1 ms  ✓ StructArrays → StructArraysAdaptExt
   4324.2 ms  ✓ FreeType
   2707.7 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   3501.0 ms  ✓ StructArrays → StructArraysSparseArraysExt
  11699.7 ms  ✓ Xorg_libxcb_jll
   4927.0 ms  ✓ Fontconfig_jll
   2412.1 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   3410.7 ms  ✓ AxisAlgorithms
   2875.2 ms  ✓ ColorTypes → StyledStringsExt
   5006.4 ms  ✓ Glib_jll
   4193.0 ms  ✓ PDMats
  13783.8 ms  ✓ SpecialFunctions
   7605.1 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
  10008.4 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   4916.4 ms  ✓ Xorg_libX11_jll
   3310.6 ms  ✓ FillArrays → FillArraysPDMatsExt
   5194.4 ms  ✓ HypergeometricFunctions
   7017.2 ms  ✓ QOI
  46813.2 ms  ✓ StaticArrays
   3600.3 ms  ✓ Xorg_libXrender_jll
   4117.5 ms  ✓ Xorg_libXext_jll
   4796.0 ms  ✓ Xorg_libXfixes_jll
   9322.6 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   3487.5 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3507.8 ms  ✓ FillArrays → FillArraysStaticArraysExt
   3403.4 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3285.5 ms  ✓ Adapt → AdaptStaticArraysExt
  19393.9 ms  ✓ IntervalArithmetic
   4003.1 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
  20717.6 ms  ✓ StatsBase
  21313.9 ms  ✓ ColorVectorSpace
   6884.5 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   8774.0 ms  ✓ Libglvnd_jll
  12415.3 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   8999.8 ms  ✓ Cairo_jll
   8925.0 ms  ✓ libva_jll
   4900.3 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
   4396.7 ms  ✓ PDMats → StatsBaseExt
   4100.0 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
  60599.8 ms  ✓ Parsers
  12697.2 ms  ✓ StructArrays → StructArraysStaticArraysExt
  62018.9 ms  ✓ SIMD
   4498.8 ms  ✓ HarfBuzz_jll
  27573.9 ms  ✓ Colors
   5712.0 ms  ✓ libwebp_jll
  19123.5 ms  ✓ StatsFuns
   3200.5 ms  ✓ Animations
   2480.5 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   4021.2 ms  ✓ libass_jll
   4598.8 ms  ✓ Pango_jll
   6398.5 ms  ✓ OpenEXR
   8096.3 ms  ✓ Graphics
   5002.2 ms  ✓ FFMPEG_jll
   6217.2 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
  14703.5 ms  ✓ Interpolations
  18369.8 ms  ✓ ExactPredicates
  17801.0 ms  ✓ ColorSchemes
  22297.4 ms  ✓ JSON
  12930.8 ms  ✓ Cairo
 102687.2 ms  ✓ Unitful
   2480.8 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   2509.0 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   4479.2 ms  ✓ ColorBrewer
   2788.0 ms  ✓ Unitful → NaNMathExt
   2797.8 ms  ✓ Unitful → PrintfExt
  21014.2 ms  ✓ Distributions
   3517.3 ms  ✓ Interpolations → InterpolationsUnitfulExt
   3787.1 ms  ✓ Distributions → DistributionsChainRulesCoreExt
  16017.0 ms  ✓ DelaunayTriangulation
   2515.2 ms  ✓ KernelDensity
  53107.4 ms  ✓ GeometryBasics
   3896.3 ms  ✓ Packing
  42600.0 ms  ✓ Automa
  25430.9 ms  ✓ PlotUtils
   6986.8 ms  ✓ ShaderAbstractions
   7418.5 ms  ✓ FreeTypeAbstraction
  12912.9 ms  ✓ GridLayoutBase
  50579.1 ms  ✓ ImageCore
   2403.6 ms  ✓ WebP
   2504.2 ms  ✓ ImageBase
   4023.9 ms  ✓ JpegTurbo
   5043.0 ms  ✓ ImageAxes
   7632.1 ms  ✓ PNGFiles
   2194.3 ms  ✓ ImageMetadata
   4890.1 ms  ✓ Netpbm
 120018.7 ms  ✓ REPL
  75461.2 ms  ✓ TiffImages
   2360.6 ms  ✓ UnicodeFun
   5293.1 ms  ✓ Pkg → REPLExt
   1673.1 ms  ✓ Sixel
    845.7 ms  ✓ ImageIO
   4222.9 ms  ✓ MathTeXEngine
 122825.8 ms  ✓ Makie
  44069.3 ms  ✓ CairoMakie
  247 dependencies successfully precompiled in 341 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 1103.33
	System time (seconds): 66.45
	Percent of CPU this job got: 289%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 6:43.47
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 4351892
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 947
	Minor (reclaiming a frame) page faults: 16762309
	Voluntary context switches: 44169
	Involuntary context switches: 108862
	Swaps: 0
	File system inputs: 88
	File system outputs: 3040600
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
