nice: cannot set niceness: Permission denied
Precompiling packages...
   2111.0 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   3713.0 ms  ✓ OpenSpecFun_jll
   4082.0 ms  ✓ FriBidi_jll
   3765.9 ms  ✓ Libuuid_jll
   3307.3 ms  ✓ OpenBLASConsistentFPCSR_jll
   3002.3 ms  ✓ SortingAlgorithms
   2740.0 ms  ✓ CoreMath
   5099.0 ms  ✓ Gamma
   6058.3 ms  ✓ FilePathsBase
   4301.9 ms  ✓ SimpleTraits
   2497.2 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   5695.1 ms  ✓ FFTA
   2777.2 ms  ✓ StructUtils → StructUtilsTablesExt
   3207.7 ms  ✓ SharedArrays
   3601.2 ms  ✓ Pixman_jll
   3497.9 ms  ✓ libdrm_jll
   4399.6 ms  ✓ ProgressMeter
  10704.7 ms  ✓ QuadGK
   4321.3 ms  ✓ Rmath
   3799.5 ms  ✓ JpegTurbo_jll
   2999.6 ms  ✓ CRlibm
  13693.4 ms  ✓ ChainRulesCore
   4596.0 ms  ✓ FreeType
   5103.2 ms  ✓ OpenEXR_jll
  11001.5 ms  ✓ StructArrays
   3804.6 ms  ✓ WoodburyMatrices
  13962.3 ms  ✓ ColorTypes
   4295.0 ms  ✓ libvorbis_jll
   3506.2 ms  ✓ Statistics → SparseArraysExt
   3704.9 ms  ✓ FillArrays → FillArraysSparseArraysExt
  18618.1 ms  ✓ Accessors
   3295.2 ms  ✓ Adapt → AdaptSparseArraysExt
   3692.8 ms  ✓ SuiteSparse
   2423.1 ms  ✓ Isoband
   4312.7 ms  ✓ GettextRuntime_jll
   6379.7 ms  ✓ CodecZstd
   6087.4 ms  ✓ Fontconfig_jll
   4186.3 ms  ✓ Libtiff_jll
   6516.3 ms  ✓ libsixel_jll
   7900.8 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   3217.5 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   7701.7 ms  ✓ FilePaths
  46496.6 ms  ✓ StaticArrays
  12605.7 ms  ✓ Xorg_libxcb_jll
  46338.0 ms  ✓ Parsers
   4477.6 ms  ✓ StructArrays → StructArraysSparseArraysExt
   4001.9 ms  ✓ AxisAlgorithms
  13800.5 ms  ✓ SpecialFunctions
   5084.5 ms  ✓ StructArrays → StructArraysAdaptExt
  13508.5 ms  ✓ HypergeometricFunctions
   5487.5 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   3597.9 ms  ✓ ColorTypes → StyledStringsExt
  11001.7 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   3301.8 ms  ✓ Accessors → IntervalSetsExt
   3701.7 ms  ✓ Accessors → LinearAlgebraExt
   4903.4 ms  ✓ Accessors → StructArraysExt
  12410.6 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
  53071.8 ms  ✓ Automa
   3059.7 ms  ✓ Adapt → AdaptStaticArraysExt
   6599.4 ms  ✓ PDMats
   4409.7 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   6476.6 ms  ✓ Glib_jll
   4890.7 ms  ✓ FillArrays → FillArraysStaticArraysExt
   3796.2 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   5121.2 ms  ✓ Accessors → StaticArraysExt
   4701.9 ms  ✓ Xorg_libX11_jll
  60398.3 ms  ✓ SIMD
  11996.9 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
  23998.3 ms  ✓ IntervalArithmetic
  18407.2 ms  ✓ ColorVectorSpace
  10625.3 ms  ✓ StructArrays → StructArraysStaticArraysExt
   3786.4 ms  ✓ FillArrays → FillArraysPDMatsExt
   4190.9 ms  ✓ Xorg_libXrender_jll
   4209.4 ms  ✓ Xorg_libXext_jll
   4100.7 ms  ✓ Xorg_libXfixes_jll
  11332.0 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
  10408.6 ms  ✓ QOI
   3505.8 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   3699.7 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   2811.3 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
  12419.2 ms  ✓ StatsFuns
  21224.3 ms  ✓ StatsBase
   3479.1 ms  ✓ IntervalArithmetic → IntervalArithmeticIrrationalConstantsExt
   3397.0 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
   2498.7 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   4296.5 ms  ✓ libva_jll
   5395.5 ms  ✓ Cairo_jll
   4181.0 ms  ✓ PDMats → StatsBaseExt
  25894.8 ms  ✓ Colors
   6400.3 ms  ✓ Libglvnd_jll
   7896.4 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
   4696.5 ms  ✓ HarfBuzz_jll
   5000.5 ms  ✓ Animations
  20101.1 ms  ✓ Roots
   7406.2 ms  ✓ libwebp_jll
   9010.5 ms  ✓ OpenEXR
   5903.1 ms  ✓ libass_jll
   6302.5 ms  ✓ Pango_jll
   4107.7 ms  ✓ Roots → RootsChainRulesCoreExt
 102776.1 ms  ✓ Unitful
  30494.0 ms  ✓ JSON
  12207.1 ms  ✓ Graphics
  20599.7 ms  ✓ Interpolations
   3118.9 ms  ✓ Unitful → NaNMathExt
   3209.0 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   3435.4 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   3499.2 ms  ✓ Accessors → UnitfulExt
   3510.0 ms  ✓ Unitful → PrintfExt
   3571.3 ms  ✓ Roots → RootsUnitfulExt
   6690.0 ms  ✓ FFMPEG_jll
  20809.9 ms  ✓ ExactPredicates
   4860.6 ms  ✓ ColorBrewer
   2885.3 ms  ✓ Interpolations → InterpolationsUnitfulExt
  18010.6 ms  ✓ ColorSchemes
   6824.4 ms  ✓ Cairo
  15239.0 ms  ✓ Distributions
   3259.2 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   8884.6 ms  ✓ DelaunayTriangulation
  49438.9 ms  ✓ GeometryBasics
   4226.8 ms  ✓ KernelDensity
   1743.2 ms  ✓ GeometryBasics → IntervalSetsExt
   2038.9 ms  ✓ Packing
   4519.1 ms  ✓ ShaderAbstractions
   4722.7 ms  ✓ FreeTypeAbstraction
  17018.1 ms  ✓ PlotUtils
  10158.6 ms  ✓ GridLayoutBase
  48090.4 ms  ✓ ImageCore
   7898.5 ms  ✓ ImageBase
   7898.3 ms  ✓ WebP
 111703.1 ms  ✓ REPL
   9395.2 ms  ✓ JpegTurbo
   4404.7 ms  ✓ ImageAxes
  12403.8 ms  ✓ PNGFiles
   3977.3 ms  ✓ UnicodeFun
   3222.1 ms  ✓ ImageMetadata
  76108.2 ms  ✓ TiffImages
   2413.7 ms  ✓ Netpbm
  10012.2 ms  ✓ Pkg → REPLExt
   1714.5 ms  ✓ Sixel
    884.8 ms  ✓ ImageIO
   5505.4 ms  ✓ MathTeXEngine
 132802.6 ms  ✓ Makie
  43291.4 ms  ✓ CairoMakie
  262 dependencies successfully precompiled in 351 seconds. 26 already precompiled.
