nice: cannot set niceness: Permission denied
Precompiling packages...
   3714.6 ms  ✓ FriBidi_jll
   3778.6 ms  ✓ Libuuid_jll
   3824.3 ms  ✓ OpenBLASConsistentFPCSR_jll
   2208.2 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   4081.1 ms  ✓ SimpleTraits
   2989.9 ms  ✓ SortingAlgorithms
   3398.5 ms  ✓ libpng_jll
   2596.4 ms  ✓ CoreMath
   5583.0 ms  ✓ FilePathsBase
   5131.5 ms  ✓ Gamma
   2217.9 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   5330.4 ms  ✓ FFTA
   2586.4 ms  ✓ StructUtils → StructUtilsTablesExt
   3905.6 ms  ✓ FreeType2_jll
   3979.7 ms  ✓ libsixel_jll
   4415.9 ms  ✓ ProgressMeter
   3586.7 ms  ✓ libdrm_jll
  10898.5 ms  ✓ QuadGK
   3327.7 ms  ✓ CRlibm
  12897.2 ms  ✓ ChainRulesCore
   3974.2 ms  ✓ Rmath
   4683.2 ms  ✓ OpenEXR_jll
   4012.9 ms  ✓ libvorbis_jll
   3579.0 ms  ✓ WoodburyMatrices
  10393.4 ms  ✓ StructArrays
   3787.3 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3128.0 ms  ✓ Adapt → AdaptSparseArraysExt
   3596.8 ms  ✓ Statistics → SparseArraysExt
   3726.5 ms  ✓ SuiteSparse
  13529.0 ms  ✓ ColorTypes
  17679.9 ms  ✓ Accessors
   2404.7 ms  ✓ Isoband
   5385.8 ms  ✓ CodecZstd
   3933.5 ms  ✓ Libtiff_jll
   2990.2 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   3381.3 ms  ✓ SharedArrays
   4593.3 ms  ✓ GettextRuntime_jll
   4373.6 ms  ✓ FilePaths
   3801.7 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
  13577.8 ms  ✓ Xorg_libxcb_jll
   7713.5 ms  ✓ HypergeometricFunctions
   6380.0 ms  ✓ Fontconfig_jll
   4427.4 ms  ✓ AxisAlgorithms
   7299.8 ms  ✓ FreeType
   3214.6 ms  ✓ StructArrays → StructArraysAdaptExt
   3129.9 ms  ✓ StructArrays → StructArraysSparseArraysExt
  47209.2 ms  ✓ StaticArrays
   5203.9 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   3609.1 ms  ✓ ColorTypes → StyledStringsExt
   3403.2 ms  ✓ Accessors → StructArraysExt
  15396.3 ms  ✓ SpecialFunctions
   6297.1 ms  ✓ PDMats
  51533.2 ms  ✓ Automa
   3795.7 ms  ✓ Accessors → LinearAlgebraExt
  13105.7 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
  14383.4 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   3597.0 ms  ✓ Accessors → IntervalSetsExt
   3335.1 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3505.5 ms  ✓ FillArrays → FillArraysStaticArraysExt
   6402.4 ms  ✓ Glib_jll
   5502.4 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
  20490.6 ms  ✓ IntervalArithmetic
   8403.1 ms  ✓ Xorg_libX11_jll
   3681.6 ms  ✓ Accessors → StaticArraysExt
  59204.4 ms  ✓ SIMD
  10988.6 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3205.9 ms  ✓ Adapt → AdaptStaticArraysExt
   3998.1 ms  ✓ FillArrays → FillArraysPDMatsExt
  19729.2 ms  ✓ StatsBase
   3220.8 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   4802.0 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
  20673.8 ms  ✓ ColorVectorSpace
   9971.7 ms  ✓ StructArrays → StructArraysStaticArraysExt
   9297.1 ms  ✓ QOI
   3699.3 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
   4210.1 ms  ✓ IntervalArithmetic → IntervalArithmeticIrrationalConstantsExt
   9400.2 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   4092.9 ms  ✓ Xorg_libXrender_jll
   3564.3 ms  ✓ Xorg_libXext_jll
   3501.4 ms  ✓ Xorg_libXfixes_jll
   2893.6 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   3507.7 ms  ✓ PDMats → StatsBaseExt
  12680.0 ms  ✓ StatsFuns
  26169.9 ms  ✓ Colors
   4382.4 ms  ✓ libva_jll
   4994.9 ms  ✓ Libglvnd_jll
   5328.0 ms  ✓ Cairo_jll
   2419.8 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
  22487.5 ms  ✓ Roots
   3304.3 ms  ✓ Animations
   2775.7 ms  ✓ Roots → RootsChainRulesCoreExt
   6793.2 ms  ✓ OpenEXR
   6413.8 ms  ✓ HarfBuzz_jll
  15218.3 ms  ✓ Interpolations
   7997.7 ms  ✓ libwebp_jll
  11003.4 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
  13121.8 ms  ✓ Graphics
   7564.3 ms  ✓ libass_jll
  21582.1 ms  ✓ ExactPredicates
   9207.8 ms  ✓ Pango_jll
 109936.0 ms  ✓ Unitful
   6826.3 ms  ✓ FFMPEG_jll
   3508.0 ms  ✓ Unitful → NaNMathExt
   3685.9 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   3789.3 ms  ✓ Accessors → UnitfulExt
  23807.0 ms  ✓ ColorSchemes
   3911.1 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   4104.6 ms  ✓ Unitful → PrintfExt
   4696.3 ms  ✓ Roots → RootsUnitfulExt
   4287.2 ms  ✓ Interpolations → InterpolationsUnitfulExt
  10789.3 ms  ✓ Cairo
  25431.1 ms  ✓ Distributions
 104213.3 ms  ✓ Parsers
  52590.0 ms  ✓ GeometryBasics
  19086.2 ms  ✓ DelaunayTriangulation
   2919.2 ms  ✓ GeometryBasics → IntervalSetsExt
   3080.0 ms  ✓ Packing
   7767.1 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   5206.9 ms  ✓ FreeTypeAbstraction
   5306.9 ms  ✓ ShaderAbstractions
   3026.4 ms  ✓ KernelDensity
  21510.3 ms  ✓ PlotUtils
  13564.9 ms  ✓ GridLayoutBase
  17602.4 ms  ✓ JSON
   8779.7 ms  ✓ ColorBrewer
  59299.5 ms  ✓ ImageCore
   7279.7 ms  ✓ WebP
   8501.9 ms  ✓ ImageBase
  10828.9 ms  ✓ JpegTurbo
  13284.4 ms  ✓ PNGFiles
   4921.3 ms  ✓ ImageAxes
 129021.7 ms  ✓ REPL
   3388.8 ms  ✓ ImageMetadata
   3889.2 ms  ✓ UnicodeFun
   3526.6 ms  ✓ Netpbm
  87308.1 ms  ✓ TiffImages
   8209.6 ms  ✓ Pkg → REPLExt
   1789.7 ms  ✓ Sixel
    897.1 ms  ✓ ImageIO
   4412.4 ms  ✓ MathTeXEngine
 136289.4 ms  ✓ Makie
  41012.8 ms  ✓ CairoMakie
  262 dependencies successfully precompiled in 365 seconds. 26 already precompiled.
  24 dependencies precompiled but different versions are currently loaded (ArgTools, Base64, Dates, Downloads, JuliaSyntaxHighlighting, LibCURL, LibCURL_jll, LibGit2, LibGit2_jll, LibSSH2_jll, Logging, Markdown, MozillaCACerts_jll, NetworkOptions, OpenSSL_jll, Pkg, Printf, StyledStrings, TOML, Tar, UUIDs, Zlib_jll, nghttp2_jll and p7zip_jll). Restart julia to access the new versions. Otherwise, 170 dependents of these packages may trigger further precompilation to work with the unexpected versions.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 1191.14
	System time (seconds): 68.03
	Percent of CPU this job got: 293%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 7:09.60
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 4530512
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 871
	Minor (reclaiming a frame) page faults: 17305727
	Voluntary context switches: 46199
	Involuntary context switches: 149088
	Swaps: 0
	File system inputs: 0
	File system outputs: 2582784
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
