Precompiling Pkg...
   1308.1 ms  ✓ NLSolversBase
   1667.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
  12871.0 ms  ✓ Moshi
   2155.4 ms  ✓ LineSearches
   1868.7 ms  ✓ Optim
  19883.8 ms  ✓ PrettyTables
    979.9 ms  ✓ SymbolicIndexingInterface
   1483.5 ms  ✓ RecursiveArrayTools
    593.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
    634.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   5627.1 ms  ✓ SciMLBase
   1438.1 ms  ✓ OptimizationBase
    273.4 ms  ✓ OptimizationBase → OptimizationFiniteDiffExt
    405.4 ms  ✓ OptimizationBase → OptimizationForwardDiffExt
   1372.4 ms  ✓ Optimization
  10086.8 ms  ✓ OptimizationOptimJL
  124 dependencies successfully precompiled in 57 seconds. 23 already precompiled.
	Command being timed: "julia +1.11.6 --project=O/Optimization/Rosenbrock-Minimization-With-Bfgs-Using-Forwarddiff -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 260.26
	System time (seconds): 21.89
	Percent of CPU this job got: 275%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:42.34
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2033800
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 494
	Minor (reclaiming a frame) page faults: 6134044
	Voluntary context switches: 178210
	Involuntary context switches: 57629
	Swaps: 0
	File system inputs: 0
	File system outputs: 849448
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
