nice: cannot set niceness: Permission denied
Precompiling packages...
   5763.3 ms  ✓ KernelAbstractions
   1238.4 ms  ✓ MLDataDevices → ChainRulesExt
    938.1 ms  ✓ KernelAbstractions → LinearAlgebraExt
   1031.8 ms  ✓ KernelAbstractions → EnzymeExt
   1040.7 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
   1149.6 ms  ✓ KernelAbstractions → SparseArraysExt
   4097.6 ms  ✓ NNlib
   1195.9 ms  ✓ NNlib → NNlibSpecialFunctionsExt
   1246.1 ms  ✓ NNlib → NNlibForwardDiffExt
   5172.9 ms  ✓ GPUArrays
   1382.9 ms  ✓ OneHotArrays
   1394.8 ms  ✓ NNlib → NNlibEnzymeCoreExt
    682.7 ms  ✓ MLDataDevices → OneHotArraysExt
   1475.1 ms  ✓ MLDataDevices → GPUArraysSparseArraysExt
  51452.9 ms  ✓ REPL
    742.5 ms  ✓ CodeTracking
   2821.9 ms  ✓ MLUtils
   4876.0 ms  ✓ Pkg → REPLExt
   1551.2 ms  ✓ MLDataDevices → MLUtilsExt
  32636.0 ms  ✓ Zygote
   1045.8 ms  ✓ MLDataDevices → ZygoteExt
   6342.5 ms  ✓ Flux
  129 dependencies successfully precompiled in 88 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 447.50
	System time (seconds): 32.21
	Percent of CPU this job got: 316%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:31.74
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2172640
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 444
	Minor (reclaiming a frame) page faults: 8735659
	Voluntary context switches: 24878
	Involuntary context switches: 27304
	Swaps: 0
	File system inputs: 0
	File system outputs: 903208
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
