nice: cannot set niceness: Permission denied
Precompiling packages...
   5951.4 ms  ✓ KernelAbstractions
   1218.5 ms  ✓ MLDataDevices → ChainRulesExt
    952.5 ms  ✓ KernelAbstractions → LinearAlgebraExt
   1029.3 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
   1057.8 ms  ✓ KernelAbstractions → EnzymeExt
   1157.3 ms  ✓ KernelAbstractions → SparseArraysExt
   4075.9 ms  ✓ NNlib
   1186.4 ms  ✓ NNlib → NNlibSpecialFunctionsExt
   1249.5 ms  ✓ NNlib → NNlibForwardDiffExt
   1333.5 ms  ✓ NNlib → NNlibEnzymeCoreExt
   1388.7 ms  ✓ OneHotArrays
   5365.0 ms  ✓ GPUArrays
    678.4 ms  ✓ MLDataDevices → OneHotArraysExt
   1442.6 ms  ✓ MLDataDevices → GPUArraysSparseArraysExt
  55004.7 ms  ✓ REPL
    735.7 ms  ✓ CodeTracking
   2861.2 ms  ✓ MLUtils
   5596.7 ms  ✓ Pkg → REPLExt
   2995.5 ms  ✓ MLDataDevices → MLUtilsExt
  34920.7 ms  ✓ Zygote
   1078.7 ms  ✓ MLDataDevices → ZygoteExt
   6423.2 ms  ✓ Flux
  129 dependencies successfully precompiled in 90 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 458.55
	System time (seconds): 32.33
	Percent of CPU this job got: 318%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:34.15
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2173144
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 453
	Minor (reclaiming a frame) page faults: 8774820
	Voluntary context switches: 23921
	Involuntary context switches: 30394
	Swaps: 0
	File system inputs: 0
	File system outputs: 907712
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
