nice: cannot set niceness: Permission denied
Precompiling project...
   1008.4 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
   1068.4 ms  ✓ KernelAbstractions → EnzymeExt
   1114.6 ms  ✓ KernelAbstractions → SparseArraysExt
   2010.3 ms  ✓ JuliaVariables
   3610.0 ms  ✓ NNlib
    981.7 ms  ✓ NNlib → NNlibSpecialFunctionsExt
   2898.7 ms  ✓ FLoops
   1046.2 ms  ✓ NNlib → NNlibForwardDiffExt
   1052.4 ms  ✓ NNlib → NNlibEnzymeCoreExt
   1056.8 ms  ✓ OneHotArrays
    625.4 ms  ✓ MLDataDevices → MLDataDevicesOneHotArraysExt
   4489.2 ms  ✓ MLUtils
   1111.0 ms  ✓ MLDataDevices → MLDataDevicesMLUtilsExt
  27381.9 ms  ✓ Zygote
   1026.0 ms  ✓ MLDataDevices → MLDataDevicesZygoteExt
   4408.1 ms  ✓ Flux
  145 dependencies successfully precompiled in 70 seconds. 7 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.11.7 --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 325.59
	System time (seconds): 30.99
	Percent of CPU this job got: 277%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:08.36
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2054524
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 607
	Minor (reclaiming a frame) page faults: 6921226
	Voluntary context switches: 196020
	Involuntary context switches: 88630
	Swaps: 0
	File system inputs: 0
	File system outputs: 901856
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
