nice: cannot set niceness: Permission denied
Precompiling packages...
   1208.1 ms  ✓ MLDataDevices → MLDataDevicesChainRulesExt
   1017.3 ms  ✓ KernelAbstractions → LinearAlgebraExt
   1059.7 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
   1126.1 ms  ✓ KernelAbstractions → EnzymeExt
   1209.7 ms  ✓ KernelAbstractions → SparseArraysExt
   2660.8 ms  ✓ JuliaVariables
   3997.0 ms  ✓ NNlib
   2939.5 ms  ✓ FLoops
    938.5 ms  ✓ NNlib → NNlibSpecialFunctionsExt
   1005.7 ms  ✓ NNlib → NNlibForwardDiffExt
   1046.7 ms  ✓ NNlib → NNlibEnzymeCoreExt
   1107.3 ms  ✓ OneHotArrays
    657.4 ms  ✓ MLDataDevices → MLDataDevicesOneHotArraysExt
   5644.1 ms  ✓ MLUtils
   1188.7 ms  ✓ MLDataDevices → MLDataDevicesMLUtilsExt
  24329.7 ms  ✓ Zygote
   1039.7 ms  ✓ MLDataDevices → MLDataDevicesZygoteExt
   6130.4 ms  ✓ Flux
  146 dependencies successfully precompiled in 88 seconds. 9 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 411.89
	System time (seconds): 34.83
	Percent of CPU this job got: 276%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:41.63
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2095452
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 452
	Minor (reclaiming a frame) page faults: 8832109
	Voluntary context switches: 24876
	Involuntary context switches: 30027
	Swaps: 0
	File system inputs: 0
	File system outputs: 810592
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
