nice: cannot set niceness: Permission denied
Precompiling packages...
   1197.3 ms  ✓ KernelAbstractions → LinearAlgebraExt
  34335.6 ms  ✓ MLStyle
    709.3 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
    770.5 ms  ✓ KernelAbstractions → EnzymeExt
    805.5 ms  ✓ KernelAbstractions → SparseArraysExt
   1508.9 ms  ✓ JuliaVariables
   3055.5 ms  ✓ NNlib
   2074.0 ms  ✓ FLoops
    696.5 ms  ✓ NNlib → NNlibSpecialFunctionsExt
    834.5 ms  ✓ OneHotArrays
    900.1 ms  ✓ NNlib → NNlibEnzymeCoreExt
    691.1 ms  ✓ NNlib → NNlibForwardDiffExt
    639.6 ms  ✓ MLDataDevices → OneHotArraysExt
   3548.8 ms  ✓ MLUtils
    925.0 ms  ✓ MLDataDevices → MLUtilsExt
  21055.9 ms  ✓ Zygote
    770.1 ms  ✓ MLDataDevices → ZygoteExt
   3774.8 ms  ✓ Flux
  146 dependencies successfully precompiled in 56 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 179.67
	System time (seconds): 23.31
	Percent of CPU this job got: 355%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:57.07
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 954588
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 315
	Minor (reclaiming a frame) page faults: 6183171
	Voluntary context switches: 177661
	Involuntary context switches: 60174
	Swaps: 0
	File system inputs: 4120
	File system outputs: 455776
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
