nice: cannot set niceness: Permission denied
Precompiling packages...
    815.7 ms  ✓ KernelAbstractions → LinearAlgebraExt
    867.9 ms  ✓ KernelAbstractions → EnzymeExt
    867.3 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
    986.9 ms  ✓ KernelAbstractions → SparseArraysExt
   3922.7 ms  ✓ NNlib
   1197.5 ms  ✓ NNlib → NNlibSpecialFunctionsExt
   1217.3 ms  ✓ NNlib → NNlibForwardDiffExt
   1313.4 ms  ✓ NNlib → NNlibEnzymeCoreExt
   5104.8 ms  ✓ GPUArrays
   1363.0 ms  ✓ OneHotArrays
    683.2 ms  ✓ MLDataDevices → OneHotArraysExt
   1434.0 ms  ✓ MLDataDevices → GPUArraysSparseArraysExt
   3159.4 ms  ✓ MLUtils
    988.0 ms  ✓ MLDataDevices → MLUtilsExt
  25428.7 ms  ✓ Zygote
   1047.5 ms  ✓ MLDataDevices → ZygoteExt
   7068.3 ms  ✓ Flux
  124 dependencies successfully precompiled in 75 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.6 --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 359.65
	System time (seconds): 29.93
	Percent of CPU this job got: 279%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:19.25
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2168588
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 426
	Minor (reclaiming a frame) page faults: 8000102
	Voluntary context switches: 24023
	Involuntary context switches: 25128
	Swaps: 0
	File system inputs: 0
	File system outputs: 779520
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
