nice: cannot set niceness: Permission denied
Precompiling packages...
    643.6 ms  ✓ MLDataDevices → ChainRulesExt
   4836.5 ms  ✓ KernelAbstractions
    692.2 ms  ✓ KernelAbstractions → LinearAlgebraExt
    728.8 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
    743.7 ms  ✓ KernelAbstractions → EnzymeExt
    846.4 ms  ✓ KernelAbstractions → SparseArraysExt
   3857.1 ms  ✓ NNlib
   1161.9 ms  ✓ NNlib → NNlibSpecialFunctionsExt
   1219.4 ms  ✓ NNlib → NNlibForwardDiffExt
   1334.7 ms  ✓ NNlib → NNlibEnzymeCoreExt
   5045.0 ms  ✓ GPUArrays
   1369.8 ms  ✓ OneHotArrays
    677.8 ms  ✓ MLDataDevices → OneHotArraysExt
   1454.5 ms  ✓ MLDataDevices → GPUArraysSparseArraysExt
   3056.4 ms  ✓ MLUtils
    993.8 ms  ✓ MLDataDevices → MLUtilsExt
  24904.1 ms  ✓ Zygote
   1084.9 ms  ✓ MLDataDevices → ZygoteExt
   7023.4 ms  ✓ Flux
  126 dependencies successfully precompiled in 77 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 373.49
	System time (seconds): 30.46
	Percent of CPU this job got: 284%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:21.82
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2171804
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 441
	Minor (reclaiming a frame) page faults: 8174065
	Voluntary context switches: 23023
	Involuntary context switches: 26273
	Swaps: 0
	File system inputs: 0
	File system outputs: 788832
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
