nice: cannot set niceness: Permission denied
Precompiling packages...
   1562.7 ms  ✓ JuliaVariables
   2015.7 ms  ✓ FLoops
   3146.3 ms  ✓ NNlib
    739.6 ms  ✓ NNlib → NNlibSpecialFunctionsExt
    829.3 ms  ✓ OneHotArrays
    901.9 ms  ✓ NNlib → NNlibEnzymeCoreExt
    703.0 ms  ✓ NNlib → NNlibForwardDiffExt
    652.6 ms  ✓ MLDataDevices → OneHotArraysExt
   3601.7 ms  ✓ MLUtils
    951.6 ms  ✓ MLDataDevices → MLUtilsExt
  20857.7 ms  ✓ Zygote
    779.6 ms  ✓ MLDataDevices → ZygoteExt
   3743.4 ms  ✓ Flux
  141 dependencies successfully precompiled in 56 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 178.46
	System time (seconds): 25.21
	Percent of CPU this job got: 356%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:57.09
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 947236
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 341
	Minor (reclaiming a frame) page faults: 6026111
	Voluntary context switches: 173922
	Involuntary context switches: 57465
	Swaps: 0
	File system inputs: 0
	File system outputs: 452696
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
