Precompiling Pkg...
   5400.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   3586.7 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   8511.3 ms  ✓ SparseMatrixColorings
   3638.5 ms  ✓ DiffRules
   4344.9 ms  ✓ StrideArraysCore
   7592.3 ms  ✓ SciMLOperators
   1910.1 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   3011.3 ms  ✓ Polyester
   2056.5 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   4056.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   9332.0 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   2086.0 ms  ✓ FastBroadcast
  38897.7 ms  ✓ StaticArrays
  13890.2 ms  ✓ ForwardDiff
   3041.3 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3063.3 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3343.1 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3710.5 ms  ✓ Adapt → AdaptStaticArraysExt
   2299.8 ms  ✓ FastPower → FastPowerForwardDiffExt
   3877.8 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   4100.1 ms  ✓ Accessors → StaticArraysExt
   2881.4 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   4411.5 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   4581.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   2510.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  59687.5 ms  ✓ ArrayLayouts
   4627.3 ms  ✓ PreallocationTools
   7624.7 ms  ✓ FastGaussQuadrature
  34230.6 ms  ✓ Moshi
   2862.9 ms  ✓ NLSolversBase
   2196.7 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
  30081.3 ms  ✓ Krylov
   2751.9 ms  ✓ LineSearches
   3057.2 ms  ✓ LazyArrays
   1547.5 ms  ✓ LazyArrays → LazyArraysStaticArraysExt
  46445.8 ms  ✓ PrettyTables
   1808.8 ms  ✓ SymbolicIndexingInterface
   2834.5 ms  ✓ RecursiveArrayTools
   1207.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   1254.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   1353.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   8555.1 ms  ✓ SciMLBase
    938.3 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   2352.5 ms  ✓ DiffEqBase
   2371.0 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   2620.5 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   5193.0 ms  ✓ SciMLJacobianOperators
   3232.5 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   7114.9 ms  ✓ OrdinaryDiffEqCore
   1862.4 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   8130.5 ms  ✓ LineSearch
   7116.4 ms  ✓ OrdinaryDiffEqSSPRK
  10463.5 ms  ✓ OrdinaryDiffEqFunctionMap
   3218.4 ms  ✓ LineSearch → LineSearchLineSearchesExt
  14302.5 ms  ✓ OrdinaryDiffEqSymplecticRK
  14658.5 ms  ✓ OrdinaryDiffEqRKN
  16053.2 ms  ✓ OrdinaryDiffEqPRK
  16412.0 ms  ✓ OrdinaryDiffEqExplicitRK
  14863.1 ms  ✓ OrdinaryDiffEqQPRK
  17020.9 ms  ✓ OrdinaryDiffEqFeagin
  18097.4 ms  ✓ OrdinaryDiffEqHighOrderRK
  18259.2 ms  ✓ OrdinaryDiffEqStabilizedRK
  24609.5 ms  ✓ NonlinearSolveBase
  22428.3 ms  ✓ OrdinaryDiffEqLowOrderRK
   5432.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   5740.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseDiffEqBaseExt
   6513.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   7109.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
