nice: cannot set niceness: Permission denied
Precompiling packages...
   6187.0 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1760.3 ms  ✓ PolyesterWeave
   6067.0 ms  ✓ SymbolicIndexingInterface
   7381.9 ms  ✓ SciMLOperators
   1788.7 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   2726.6 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
  29638.6 ms  ✓ StaticArrays
   3304.3 ms  ✓ Adapt → AdaptStaticArraysExt
   3492.9 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3920.0 ms  ✓ Accessors → StaticArraysExt
   4005.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   4538.6 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   4600.0 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
  14739.2 ms  ✓ ForwardDiff
  11203.7 ms  ✓ RecursiveArrayTools
   2606.8 ms  ✓ FastPower → FastPowerForwardDiffExt
  23177.6 ms  ✓ SparseMatrixColorings
   2904.0 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   3552.7 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
  24669.9 ms  ✓ Krylov
   2688.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   3090.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   9895.1 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   9830.0 ms  ✓ FastGaussQuadrature
   3190.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
  32124.5 ms  ✓ Moshi
   7033.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
    879.7 ms  ✓ NLSolversBase
   1996.9 ms  ✓ LineSearches
  23871.2 ms  ✓ ArrayLayouts
  12574.6 ms  ✓ SciMLBase
   2466.8 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   2704.0 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
  37885.2 ms  ✓ StaticArrayInterface
