nice: cannot set niceness: Permission denied
Precompiling packages...
    661.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
    715.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
    806.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   8635.2 ms  ✓ SciMLBase
    812.3 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   3548.1 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   9228.8 ms  ✓ SciMLJacobianOperators
  28227.5 ms  ✓ PureKLU
   5255.7 ms  ✓ LineSearch
   7219.5 ms  ✓ NonlinearSolveBase
   1376.1 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   1631.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   1697.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
  10941.4 ms  ✓ LinearSolve
   5625.7 ms  ✓ BracketingNonlinearSolve
   2833.4 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   8627.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   5219.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   5771.1 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
   5463.6 ms  ✓ DiffEqBase
   8042.2 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
   3082.3 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
  13418.5 ms  ✓ NonlinearSolveSpectralMethods
   1640.2 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   4244.1 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   7220.8 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   8280.3 ms  ✓ OrdinaryDiffEqCore
  12947.9 ms  ✓ SimpleNonlinearSolve
   2741.8 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   8734.6 ms  ✓ OrdinaryDiffEqTsit5
   6801.5 ms  ✓ OrdinaryDiffEqDifferentiation
   2485.5 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
  20467.1 ms  ✓ NonlinearSolveQuasiNewton
   2085.2 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  33276.3 ms  ✓ NonlinearSolveFirstOrder
  30667.1 ms  ✓ OrdinaryDiffEqVerner
  22710.5 ms  ✓ OrdinaryDiffEqRosenbrock
  40105.4 ms  ✓ NonlinearSolve
   5719.7 ms  ✓ OrdinaryDiffEqNonlinearSolve
  31099.7 ms  ✓ OrdinaryDiffEqSDIRK
   8216.3 ms  ✓ OrdinaryDiffEqBDF
  23369.2 ms  ✓ OrdinaryDiffEqDefault
   2985.4 ms  ✓ OrdinaryDiffEq
  143 dependencies successfully precompiled in 229 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.6 --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 803.58
	System time (seconds): 43.87
	Percent of CPU this job got: 284%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:58.19
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2159404
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 667
	Minor (reclaiming a frame) page faults: 12194523
	Voluntary context switches: 29922
	Involuntary context switches: 53170
	Swaps: 0
	File system inputs: 0
	File system outputs: 1500888
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
