nice: cannot set niceness: Permission denied
Precompiling packages...
  15198.0 ms  ✓ RecursiveArrayTools
   3178.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   1019.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   1020.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   1036.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsTablesExt
   1226.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   1254.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  56736.2 ms  ✓ LHLFactorization
  19149.5 ms  ✓ SciMLBase
   1908.3 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
  49725.5 ms  ✓ PureKLU
    752.2 ms  ✓ PureKLU → PureKLUForwardDiffExt
   3520.6 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   1232.8 ms  ✓ LHLFactorization → LHLFactorizationSparseExt
   5343.1 ms  ✓ SciMLJacobianOperators
  77323.4 ms  ✓ REPL
   9303.4 ms  ✓ LineSearch
   4597.7 ms  ✓ Pkg → REPLExt
  24778.9 ms  ✓ LinearSolve
   1921.2 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   2125.5 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
  20285.4 ms  ✓ PrettyTables
    678.2 ms  ✓ SymbolicIndexingInterface → SymbolicIndexingInterfacePrettyTablesExt
   4070.0 ms  ✓ TimerOutputs
   5848.5 ms  ✓ NonlinearSolveBase
   1400.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   1682.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   1771.1 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   2223.0 ms  ✓ BracketingNonlinearSolve
   3300.9 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   1275.0 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   5968.9 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
