Precompiling Pkg...
   4607.2 ms  ✓ SciMLOperators
   2014.7 ms  ✓ StrideArraysCore
   1399.7 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   3825.4 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1505.4 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   1600.6 ms  ✓ Polyester
   1098.2 ms  ✓ FastBroadcast
   3798.2 ms  ✓ RecursiveArrayTools
   1813.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   1899.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  20824.5 ms  ✓ StaticArrays
   2545.8 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2553.9 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   8514.0 ms  ✓ ForwardDiff
   2520.5 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   2694.2 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   2929.3 ms  ✓ Adapt → AdaptStaticArraysExt
   3013.2 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3507.0 ms  ✓ Accessors → StaticArraysExt
   3521.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   2727.6 ms  ✓ FastPower → FastPowerForwardDiffExt
   2810.5 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   2976.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   3009.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   3391.2 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   7295.4 ms  ✓ FastGaussQuadrature
  19301.8 ms  ✓ SparseMatrixColorings
  19688.2 ms  ✓ Krylov
   3196.6 ms  ✓ NLSolversBase
  24565.1 ms  ✓ Moshi
   1335.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   1455.7 ms  ✓ LineSearches
   5875.9 ms  ✓ SciMLBase
    797.8 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
  16375.5 ms  ✓ ArrayLayouts
   1853.4 ms  ✓ DiffEqBase
   2207.0 ms  ✓ SciMLJacobianOperators
   1174.5 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
   1445.9 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   1704.5 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   2014.0 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   2563.5 ms  ✓ LazyArrays
   3716.9 ms  ✓ OrdinaryDiffEqCore
   3767.7 ms  ✓ LineSearch
    957.4 ms  ✓ LazyArrays → LazyArraysStaticArraysExt
    937.9 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   2894.7 ms  ✓ LineSearch → LineSearchLineSearchesExt
   8159.0 ms  ✓ OrdinaryDiffEqFunctionMap
  12860.1 ms  ✓ NonlinearSolveBase
  10145.9 ms  ✓ OrdinaryDiffEqPRK
  10263.6 ms  ✓ OrdinaryDiffEqExplicitRK
  11149.0 ms  ✓ OrdinaryDiffEqHighOrderRK
  11264.7 ms  ✓ OrdinaryDiffEqSymplecticRK
