Precompiling Pkg...
   2187.8 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   1890.5 ms  ✓ LayoutPointers
  10810.9 ms  ✓ SpecialFunctions
   3130.8 ms  ✓ SparseMatrixColorings
   1579.8 ms  ✓ DiffRules
   2596.8 ms  ✓ SymbolicIndexingInterface
   2505.1 ms  ✓ StrideArraysCore
   1799.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   3512.4 ms  ✓ SciMLOperators
   1501.5 ms  ✓ Polyester
   4679.0 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1667.0 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   1697.0 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1496.6 ms  ✓ FastBroadcast
   3987.7 ms  ✓ RecursiveArrayTools
   1999.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   2011.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  22656.8 ms  ✓ StaticArrays
   8213.1 ms  ✓ ForwardDiff
   3310.8 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3410.3 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3516.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3600.1 ms  ✓ Adapt → AdaptStaticArraysExt
   3715.8 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3757.3 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3804.8 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   4101.1 ms  ✓ Accessors → StaticArraysExt
  18988.3 ms  ✓ Krylov
   5745.2 ms  ✓ ArnoldiMethod
   4176.1 ms  ✓ FastPower → FastPowerForwardDiffExt
   4811.3 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   3298.2 ms  ✓ PreallocationTools
   3394.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   3116.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
  26005.3 ms  ✓ Moshi
