nice: cannot set niceness: Permission denied
Precompiling packages...
   1765.4 ms  ✓ BitTwiddlingConvenienceFunctions
   8569.0 ms  ✓ NLSolversBase
   4411.2 ms  ✓ CPUSummary
   9679.7 ms  ✓ SymbolicIndexingInterface
  10761.3 ms  ✓ SciMLOperators
   3097.0 ms  ✓ PolyesterWeave
   3213.7 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   4116.8 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
  38998.2 ms  ✓ StaticArrays
   7876.8 ms  ✓ LineSearches
   3136.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3593.4 ms  ✓ Adapt → AdaptStaticArraysExt
   4067.4 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   4214.9 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
  19208.7 ms  ✓ ForwardDiff
   5445.9 ms  ✓ Accessors → StaticArraysExt
   5701.0 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2446.3 ms  ✓ FastPower → FastPowerForwardDiffExt
   2791.2 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
  30103.6 ms  ✓ SparseMatrixColorings
   3380.5 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   8318.0 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   8758.4 ms  ✓ FastGaussQuadrature
  31452.1 ms  ✓ Krylov
   1879.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   7411.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  40693.5 ms  ✓ Moshi
  19038.6 ms  ✓ RecursiveArrayTools
    971.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   1033.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   1156.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  43549.2 ms  ✓ StaticArrayInterface
   1844.2 ms  ✓ CloseOpenIntervals
   2085.5 ms  ✓ LayoutPointers
   2136.6 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   2990.7 ms  ✓ StrideArraysCore
   1640.0 ms  ✓ Polyester
  25294.2 ms  ✓ SciMLBase
   1637.2 ms  ✓ FastBroadcast
  58765.3 ms  ✓ ExponentialUtilities
   1965.4 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   2128.8 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   1197.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   3492.4 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   2210.2 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
   4740.4 ms  ✓ SciMLJacobianOperators
   5982.9 ms  ✓ LineSearch
  12669.5 ms  ✓ LinearSolve
   2251.1 ms  ✓ LineSearch → LineSearchLineSearchesExt
  11032.1 ms  ✓ NonlinearSolveBase
   6415.6 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
   3586.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseChainRulesCoreExt
   3741.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   4220.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   4215.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   4512.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   8851.9 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
   7887.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   4324.1 ms  ✓ LinearSolve → LinearSolveEnzymeExt
  10237.4 ms  ✓ BracketingNonlinearSolve
   3166.1 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   2564.8 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveChainRulesCoreExt
   6080.7 ms  ✓ DiffEqBase
   4125.1 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   4247.6 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   5141.3 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
  18013.7 ms  ✓ NonlinearSolveSpectralMethods
   2317.4 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   9944.2 ms  ✓ OrdinaryDiffEqCore
   2402.1 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
  22951.2 ms  ✓ SimpleNonlinearSolve
  12859.4 ms  ✓ OrdinaryDiffEqFunctionMap
  15058.4 ms  ✓ OrdinaryDiffEqExplicitRK
  16284.2 ms  ✓ OrdinaryDiffEqPRK
  16399.5 ms  ✓ OrdinaryDiffEqStabilizedRK
  16611.4 ms  ✓ OrdinaryDiffEqSymplecticRK
  16832.9 ms  ✓ OrdinaryDiffEqFeagin
  18389.5 ms  ✓ OrdinaryDiffEqHighOrderRK
  18383.0 ms  ✓ OrdinaryDiffEqLinear
  18329.8 ms  ✓ OrdinaryDiffEqRKN
  18484.7 ms  ✓ OrdinaryDiffEqSSPRK
  11113.1 ms  ✓ OrdinaryDiffEqQPRK
  19378.6 ms  ✓ OrdinaryDiffEqLowOrderRK
   4564.1 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
  46424.6 ms  ✓ NonlinearSolveQuasiNewton
  13653.7 ms  ✓ OrdinaryDiffEqLowStorageRK
   8821.4 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
  29549.4 ms  ✓ OrdinaryDiffEqTsit5
  14812.3 ms  ✓ OrdinaryDiffEqDifferentiation
   4880.3 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
   3204.0 ms  ✓ OrdinaryDiffEqNordsieck
   3899.2 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
  12158.1 ms  ✓ OrdinaryDiffEqExponentialRK
  67261.4 ms  ✓ NonlinearSolveFirstOrder
  13362.2 ms  ✓ OrdinaryDiffEqExtrapolation
  65989.0 ms  ✓ OrdinaryDiffEqVerner
  25694.1 ms  ✓ NonlinearSolve
  43311.7 ms  ✓ OrdinaryDiffEqRosenbrock
   7706.7 ms  ✓ OrdinaryDiffEqNonlinearSolve
