nice: cannot set niceness: Permission denied
Precompiling packages...
   9647.2 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   4882.3 ms  ✓ CPUSummary
   8188.6 ms  ✓ LineSearches
   9203.9 ms  ✓ SymbolicIndexingInterface
   2724.9 ms  ✓ PolyesterWeave
  11148.2 ms  ✓ SciMLOperators
  35495.8 ms  ✓ StaticArrays
   2384.7 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   2686.3 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3547.5 ms  ✓ FillArrays → FillArraysStaticArraysExt
   3498.4 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   4905.2 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   4279.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   4887.9 ms  ✓ Adapt → AdaptStaticArraysExt
   5803.8 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   4265.2 ms  ✓ Accessors → StaticArraysExt
  20405.9 ms  ✓ ForwardDiff
  26636.1 ms  ✓ SparseMatrixColorings
   7791.2 ms  ✓ FastGaussQuadrature
   3074.2 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   3527.2 ms  ✓ FastPower → FastPowerForwardDiffExt
  30572.9 ms  ✓ Krylov
   4088.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
  11880.8 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
  43701.7 ms  ✓ Moshi
   8527.4 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
  10134.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  27907.8 ms  ✓ StaticArrayInterface
   1213.4 ms  ✓ CloseOpenIntervals
   1383.6 ms  ✓ LayoutPointers
  22088.0 ms  ✓ RecursiveArrayTools
   1488.0 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
    826.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
    890.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   1120.5 ms  ✓ StrideArraysCore
   1088.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
    762.8 ms  ✓ Polyester
    727.2 ms  ✓ FastBroadcast
    721.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
  15796.7 ms  ✓ SciMLBase
   2029.1 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   2239.1 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
  52561.1 ms  ✓ ExponentialUtilities
   3328.0 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   1800.7 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
   3972.0 ms  ✓ SciMLJacobianOperators
   4510.2 ms  ✓ LineSearch
   1681.6 ms  ✓ LineSearch → LineSearchLineSearchesExt
  10196.2 ms  ✓ LinearSolve
   7693.8 ms  ✓ NonlinearSolveBase
   2682.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseChainRulesCoreExt
   2703.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   3466.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   3481.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   3628.1 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   5761.7 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
   5279.9 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   7225.2 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
   7229.8 ms  ✓ BracketingNonlinearSolve
   1967.4 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   3422.0 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   1467.7 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveChainRulesCoreExt
   4068.5 ms  ✓ DiffEqBase
   3188.2 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   3278.7 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
  11981.8 ms  ✓ NonlinearSolveSpectralMethods
   3396.4 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   1348.2 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   7208.2 ms  ✓ OrdinaryDiffEqCore
   9671.0 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
  11871.2 ms  ✓ OrdinaryDiffEqFunctionMap
  22839.5 ms  ✓ SimpleNonlinearSolve
  14865.6 ms  ✓ OrdinaryDiffEqHighOrderRK
  15030.6 ms  ✓ OrdinaryDiffEqSymplecticRK
  16002.7 ms  ✓ OrdinaryDiffEqRKN
  17045.1 ms  ✓ OrdinaryDiffEqPRK
  17163.9 ms  ✓ OrdinaryDiffEqExplicitRK
  17713.4 ms  ✓ OrdinaryDiffEqFeagin
  17883.7 ms  ✓ OrdinaryDiffEqStabilizedRK
  18756.6 ms  ✓ OrdinaryDiffEqSSPRK
  19227.0 ms  ✓ OrdinaryDiffEqLowOrderRK
   5733.8 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
  11190.4 ms  ✓ OrdinaryDiffEqQPRK
  12606.5 ms  ✓ OrdinaryDiffEqLowStorageRK
  11365.4 ms  ✓ OrdinaryDiffEqLinear
  26819.2 ms  ✓ OrdinaryDiffEqTsit5
   7672.7 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
  14007.5 ms  ✓ OrdinaryDiffEqDifferentiation
   3317.3 ms  ✓ OrdinaryDiffEqNordsieck
   3285.1 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
  49814.6 ms  ✓ NonlinearSolveQuasiNewton
   4005.3 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  10176.8 ms  ✓ OrdinaryDiffEqExponentialRK
  11078.8 ms  ✓ OrdinaryDiffEqExtrapolation
  60195.5 ms  ✓ OrdinaryDiffEqVerner
  79755.7 ms  ✓ NonlinearSolveFirstOrder
