nice: cannot set niceness: Permission denied
Precompiling packages...
   3146.9 ms  ✓ DiffEqBase
  12571.0 ms  ✓ NonlinearSolveSpectralMethods
   4993.2 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   1224.5 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   1061.6 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
  11048.6 ms  ✓ SimpleNonlinearSolve
   3535.0 ms  ✓ OrdinaryDiffEqCore
   1349.7 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   3701.8 ms  ✓ OrdinaryDiffEqDifferentiation
   2277.5 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
   8938.4 ms  ✓ OrdinaryDiffEqTsit5
  18685.3 ms  ✓ NonlinearSolveQuasiNewton
   1696.3 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  36193.9 ms  ✓ NonlinearSolveFirstOrder
  21475.4 ms  ✓ OrdinaryDiffEqRosenbrock
  29017.8 ms  ✓ OrdinaryDiffEqVerner
  40036.8 ms  ✓ NonlinearSolve
   3338.5 ms  ✓ OrdinaryDiffEqNonlinearSolve
  40047.1 ms  ✓ OrdinaryDiffEqSDIRK
   9954.0 ms  ✓ OrdinaryDiffEqBDF
  27707.7 ms  ✓ OrdinaryDiffEqDefault
   2713.5 ms  ✓ OrdinaryDiffEq
  140 dependencies successfully precompiled in 210 seconds. 27 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +alpha --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 610.67
	System time (seconds): 34.60
	Percent of CPU this job got: 214%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 5:00.89
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2748052
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 742
	Minor (reclaiming a frame) page faults: 12775366
	Voluntary context switches: 29782
	Involuntary context switches: 12703
	Swaps: 0
	File system inputs: 0
	File system outputs: 1394056
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
