nice: cannot set niceness: Permission denied
Precompiling packages...
   6213.5 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   1528.1 ms  ✓ PolyesterWeave
   6502.3 ms  ✓ SymbolicIndexingInterface
   8030.1 ms  ✓ SciMLOperators
   2072.2 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   2552.8 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
  27396.5 ms  ✓ StaticArrays
   3590.8 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3694.5 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3698.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3790.3 ms  ✓ Adapt → AdaptStaticArraysExt
   3807.9 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3799.5 ms  ✓ Accessors → StaticArraysExt
  16104.9 ms  ✓ ForwardDiff
  11712.0 ms  ✓ RecursiveArrayTools
  22692.4 ms  ✓ SparseMatrixColorings
   3193.2 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   3720.5 ms  ✓ FastPower → FastPowerForwardDiffExt
   9287.2 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   4230.4 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   9496.6 ms  ✓ FastGaussQuadrature
   3077.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   3769.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   3585.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
  26814.1 ms  ✓ Krylov
  33360.2 ms  ✓ Moshi
   7547.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
    845.1 ms  ✓ NLSolversBase
   2000.2 ms  ✓ LineSearches
  22598.2 ms  ✓ ArrayLayouts
  12369.3 ms  ✓ SciMLBase
   3803.3 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
   3680.7 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   3891.1 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
  38473.4 ms  ✓ StaticArrayInterface
   2302.0 ms  ✓ CloseOpenIntervals
   2416.7 ms  ✓ LayoutPointers
   2804.2 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   7628.0 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   1700.3 ms  ✓ StrideArraysCore
   7112.4 ms  ✓ LazyArrays
    840.0 ms  ✓ Polyester
  44749.5 ms  ✓ ExponentialUtilities
    658.2 ms  ✓ FastBroadcast
   1139.9 ms  ✓ LazyArrays → LazyArraysStaticArraysExt
   6478.0 ms  ✓ SciMLJacobianOperators
    649.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   1458.8 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
   2111.4 ms  ✓ DiffEqBase
   1832.8 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   1931.8 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   4119.9 ms  ✓ LineSearch
   1934.6 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
    911.4 ms  ✓ LineSearch → LineSearchLineSearchesExt
   3880.5 ms  ✓ OrdinaryDiffEqCore
   6601.4 ms  ✓ NonlinearSolveBase
   1574.0 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   3020.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   3020.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseChainRulesCoreExt
   4990.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   5319.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   6123.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
  10322.4 ms  ✓ OrdinaryDiffEqFunctionMap
  12972.4 ms  ✓ OrdinaryDiffEqSymplecticRK
  13381.3 ms  ✓ OrdinaryDiffEqExplicitRK
  14017.5 ms  ✓ OrdinaryDiffEqLinear
  23064.9 ms  ✓ LinearSolve
  14121.7 ms  ✓ OrdinaryDiffEqPRK
  16265.6 ms  ✓ OrdinaryDiffEqSSPRK
  16480.6 ms  ✓ OrdinaryDiffEqHighOrderRK
  17647.2 ms  ✓ OrdinaryDiffEqStabilizedRK
  13585.3 ms  ✓ OrdinaryDiffEqFeagin
  14017.4 ms  ✓ OrdinaryDiffEqRKN
  19042.0 ms  ✓ OrdinaryDiffEqLowOrderRK
  14184.9 ms  ✓ OrdinaryDiffEqQPRK
  20728.1 ms  ✓ BracketingNonlinearSolve
   2906.9 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   7914.4 ms  ✓ LinearSolve → LinearSolveEnzymeExt
  14466.3 ms  ✓ OrdinaryDiffEqLowStorageRK
  25309.7 ms  ✓ OrdinaryDiffEqTsit5
   7277.6 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
   3872.9 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveChainRulesCoreExt
  10404.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
  11803.6 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
   3095.1 ms  ✓ OrdinaryDiffEqNordsieck
  13253.6 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
  19126.4 ms  ✓ NonlinearSolveSpectralMethods
   1479.8 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   6943.5 ms  ✓ OrdinaryDiffEqDifferentiation
  13391.6 ms  ✓ SimpleNonlinearSolve
   1122.0 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
   2942.2 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
   5793.8 ms  ✓ OrdinaryDiffEqExponentialRK
   8562.7 ms  ✓ OrdinaryDiffEqExtrapolation
  19852.1 ms  ✓ NonlinearSolveQuasiNewton
  50669.3 ms  ✓ OrdinaryDiffEqVerner
   5021.5 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  29964.0 ms  ✓ NonlinearSolveFirstOrder
  25960.5 ms  ✓ OrdinaryDiffEqRosenbrock
  11095.9 ms  ✓ NonlinearSolve
   3493.7 ms  ✓ OrdinaryDiffEqNonlinearSolve
   3906.6 ms  ✓ OrdinaryDiffEqIMEXMultistep
   3944.2 ms  ✓ OrdinaryDiffEqStabilizedIRK
   4284.0 ms  ✓ OrdinaryDiffEqPDIRK
   5107.6 ms  ✓ OrdinaryDiffEqSDIRK
  10194.5 ms  ✓ OrdinaryDiffEqBDF
  18073.3 ms  ✓ OrdinaryDiffEqFIRK
  21390.0 ms  ✓ OrdinaryDiffEqDefault
   3704.0 ms  ✓ OrdinaryDiffEq
  214 dependencies successfully precompiled in 207 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 867.26
	System time (seconds): 62.76
	Percent of CPU this job got: 346%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:28.67
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2170480
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 782
	Minor (reclaiming a frame) page faults: 15780167
	Voluntary context switches: 37884
	Involuntary context switches: 70298
	Swaps: 0
	File system inputs: 0
	File system outputs: 1557328
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
