nice: cannot set niceness: Permission denied
Precompiling packages...
   2064.7 ms  ✓ DiffRules
   2235.8 ms  ✓ PolyesterWeave
   1804.5 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1841.7 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   4694.9 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   4425.6 ms  ✓ RecursiveArrayTools
   2197.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  24604.2 ms  ✓ StaticArrays
   3182.3 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3200.5 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3422.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3494.7 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3503.9 ms  ✓ Accessors → StaticArraysExt
   3832.3 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3923.2 ms  ✓ Adapt → AdaptStaticArraysExt
  11135.6 ms  ✓ ForwardDiff
  19627.4 ms  ✓ SparseMatrixColorings
   6906.9 ms  ✓ FastGaussQuadrature
   2197.9 ms  ✓ FastPower → FastPowerForwardDiffExt
   2357.6 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   2794.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   2957.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   3160.5 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
  22796.5 ms  ✓ Krylov
   3369.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
  28608.8 ms  ✓ Moshi
   1763.0 ms  ✓ NLSolversBase
   1693.0 ms  ✓ LineSearches
  30559.1 ms  ✓ StaticArrayInterface
    651.0 ms  ✓ CloseOpenIntervals
    774.9 ms  ✓ LayoutPointers
    784.8 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
  22328.3 ms  ✓ ArrayLayouts
  12259.8 ms  ✓ SciMLBase
    997.2 ms  ✓ StrideArraysCore
   1107.1 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   1419.9 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
    957.0 ms  ✓ Polyester
   1437.0 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   1204.1 ms  ✓ FastBroadcast
   1808.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   5699.3 ms  ✓ SciMLJacobianOperators
   4974.7 ms  ✓ LazyArrays
   1628.5 ms  ✓ LazyArrays → LazyArraysStaticArraysExt
   3782.2 ms  ✓ DiffEqBase
  40526.2 ms  ✓ ExponentialUtilities
   2073.6 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   2240.0 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   2566.0 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   2579.7 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
   5267.9 ms  ✓ LineSearch
    962.5 ms  ✓ LineSearch → LineSearchLineSearchesExt
