nice: cannot set niceness: Permission denied
Precompiling packages...
   2927.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  15036.3 ms  ✓ RecursiveArrayTools
    994.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   1049.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   1087.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsTablesExt
   1165.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   1575.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  55526.9 ms  ✓ LHLFactorization
  20009.1 ms  ✓ SciMLBase
  48630.8 ms  ✓ PureKLU
    849.1 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
    736.5 ms  ✓ PureKLU → PureKLUForwardDiffExt
   1186.0 ms  ✓ LHLFactorization → LHLFactorizationSparseExt
   1989.0 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   4768.5 ms  ✓ SciMLJacobianOperators
  75768.4 ms  ✓ REPL
   9293.1 ms  ✓ LineSearch
   4723.3 ms  ✓ Pkg → REPLExt
  25709.9 ms  ✓ LinearSolve
   1931.3 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   2116.3 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
  20189.5 ms  ✓ PrettyTables
    665.0 ms  ✓ SymbolicIndexingInterface → SymbolicIndexingInterfacePrettyTablesExt
   4190.6 ms  ✓ TimerOutputs
   5879.7 ms  ✓ NonlinearSolveBase
   1430.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   1727.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   1766.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   2235.3 ms  ✓ BracketingNonlinearSolve
   3270.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   1319.9 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   6102.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   5712.8 ms  ✓ DiffEqBase
   2758.1 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
  10487.3 ms  ✓ NonlinearSolveSpectralMethods
   1595.2 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   6816.1 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   8437.8 ms  ✓ OrdinaryDiffEqCore
  10360.9 ms  ✓ SimpleNonlinearSolve
   1384.1 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   4636.0 ms  ✓ OrdinaryDiffEqDifferentiation
   2362.2 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
  17707.9 ms  ✓ OrdinaryDiffEqTsit5
  31884.1 ms  ✓ NonlinearSolveQuasiNewton
   2078.4 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  31595.6 ms  ✓ OrdinaryDiffEqVerner
  49342.4 ms  ✓ NonlinearSolveFirstOrder
  48890.2 ms  ✓ OrdinaryDiffEqRosenbrock
  52607.1 ms  ✓ NonlinearSolve
   4478.0 ms  ✓ OrdinaryDiffEqNonlinearSolve
  31042.5 ms  ✓ OrdinaryDiffEqSDIRK
  23455.3 ms  ✓ OrdinaryDiffEqBDF
  66150.6 ms  ✓ OrdinaryDiffEqDefault
   3572.5 ms  ✓ OrdinaryDiffEq
  158 dependencies successfully precompiled in 365 seconds. 26 already precompiled.
  24 dependencies precompiled but different versions are currently loaded (ArgTools, Base64, Dates, Downloads, JuliaSyntaxHighlighting, LibCURL, LibCURL_jll, LibGit2, LibGit2_jll, LibSSH2_jll, Logging, Markdown, MozillaCACerts_jll, NetworkOptions, OpenSSL_jll, Pkg, Printf, StyledStrings, TOML, Tar, UUIDs, Zlib_jll, nghttp2_jll and p7zip_jll). Restart julia to access the new versions. Otherwise, 109 dependents of these packages may trigger further precompilation to work with the unexpected versions.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 1213.68
	System time (seconds): 52.63
	Percent of CPU this job got: 294%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 7:09.44
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2938704
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 869
	Minor (reclaiming a frame) page faults: 15530620
	Voluntary context switches: 34962
	Involuntary context switches: 70104
	Swaps: 0
	File system inputs: 0
	File system outputs: 2312352
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
