nice: cannot set niceness: Permission denied
Precompiling Pkg...
   1999.3 ms  ✓ StrideArraysCore
   2093.8 ms  ✓ DiffRules
   5496.4 ms  ✓ SciMLOperators
   1865.4 ms  ✓ Polyester
   1506.7 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1737.5 ms  ✓ FastBroadcast
   2452.2 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   4829.9 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   4996.5 ms  ✓ RecursiveArrayTools
   2354.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   2406.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  24600.4 ms  ✓ StaticArrays
   2797.3 ms  ✓ Adapt → AdaptStaticArraysExt
   3203.0 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3334.7 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3327.6 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3401.0 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3934.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   4016.9 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   4230.4 ms  ✓ Accessors → StaticArraysExt
  11393.7 ms  ✓ ForwardDiff
   2473.3 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
  22400.2 ms  ✓ SparseMatrixColorings
  22566.4 ms  ✓ Krylov
   2845.5 ms  ✓ FastPower → FastPowerForwardDiffExt
   8205.4 ms  ✓ FastGaussQuadrature
   3301.6 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   3562.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   3683.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   2659.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
  27071.9 ms  ✓ Moshi
