Precompiling Pkg...
   2199.4 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   1705.9 ms  ✓ CloseOpenIntervals
   5405.0 ms  ✓ SciMLOperators
   1908.6 ms  ✓ LayoutPointers
   3807.9 ms  ✓ SparseMatrixColorings
   8700.2 ms  ✓ SpecialFunctions
   1698.7 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   2000.5 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   1693.7 ms  ✓ DiffRules
   1978.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   2583.0 ms  ✓ StrideArraysCore
   1331.4 ms  ✓ Polyester
   4994.1 ms  ✓ RecursiveArrayTools
   3715.2 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1106.8 ms  ✓ FastBroadcast
   1206.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   1684.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
  22438.9 ms  ✓ StaticArrays
   2753.0 ms  ✓ Adapt → AdaptStaticArraysExt
   2778.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   2780.5 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2964.2 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3058.2 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3078.0 ms  ✓ Accessors → StaticArraysExt
   3148.7 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   3155.2 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   8228.6 ms  ✓ ForwardDiff
   4977.1 ms  ✓ ArnoldiMethod
   3083.3 ms  ✓ FastPower → FastPowerForwardDiffExt
   3264.5 ms  ✓ PreallocationTools
   3369.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
  18472.4 ms  ✓ Krylov
   3459.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   3593.4 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   7067.2 ms  ✓ FastGaussQuadrature
   3761.4 ms  ✓ NLSolversBase
  23238.5 ms  ✓ Moshi
  37514.4 ms  ✓ ArrayLayouts
    573.1 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
   1546.2 ms  ✓ LineSearches
   5114.7 ms  ✓ Graphs
   1575.6 ms  ✓ LazyArrays
    642.7 ms  ✓ VertexSafeGraphs
    835.6 ms  ✓ LazyArrays → LazyArraysStaticArraysExt
   1499.6 ms  ✓ SparseDiffTools
    998.2 ms  ✓ SparseDiffTools → SparseDiffToolsPolyesterExt
   5740.6 ms  ✓ SciMLBase
    667.2 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   1988.4 ms  ✓ SciMLJacobianOperators
   3743.7 ms  ✓ DiffEqBase
   1518.9 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   1806.4 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   3827.1 ms  ✓ LineSearch
   2071.9 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
    945.1 ms  ✓ LineSearch → LineSearchLineSearchesExt
   3746.9 ms  ✓ OrdinaryDiffEqCore
   5826.9 ms  ✓ NonlinearSolveBase
   1753.2 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   1705.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   3004.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseDiffEqBaseExt
   3610.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   4097.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   4719.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   8406.4 ms  ✓ OrdinaryDiffEqFunctionMap
  10867.0 ms  ✓ OrdinaryDiffEqExplicitRK
  11454.8 ms  ✓ OrdinaryDiffEqSymplecticRK
  11769.5 ms  ✓ OrdinaryDiffEqHighOrderRK
  10414.7 ms  ✓ OrdinaryDiffEqPRK
  12457.4 ms  ✓ OrdinaryDiffEqStabilizedRK
   9294.6 ms  ✓ OrdinaryDiffEqQPRK
  10999.8 ms  ✓ OrdinaryDiffEqFeagin
  11603.6 ms  ✓ OrdinaryDiffEqRKN
  14320.3 ms  ✓ OrdinaryDiffEqSSPRK
  17907.4 ms  ✓ BracketingNonlinearSolve
  17413.9 ms  ✓ OrdinaryDiffEqLowOrderRK
  28188.0 ms  ✓ LinearSolve
   3389.9 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
  12603.5 ms  ✓ OrdinaryDiffEqLowStorageRK
   6005.3 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
  23534.1 ms  ✓ OrdinaryDiffEqTsit5
   5281.6 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   5297.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   2278.4 ms  ✓ OrdinaryDiffEqNordsieck
   8368.2 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
  17319.1 ms  ✓ NonlinearSolveSpectralMethods
   1684.4 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   6095.8 ms  ✓ OrdinaryDiffEqDifferentiation
  22336.4 ms  ✓ SimpleNonlinearSolve
  73886.7 ms  ✓ ExponentialUtilities
   2056.8 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
   2110.4 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveDiffEqBaseExt
   1960.9 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
  12111.1 ms  ✓ OrdinaryDiffEqExtrapolation
  21669.9 ms  ✓ NonlinearSolveQuasiNewton
   1918.8 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  33401.8 ms  ✓ NonlinearSolveFirstOrder
  32471.0 ms  ✓ OrdinaryDiffEqRosenbrock
  66586.0 ms  ✓ OrdinaryDiffEqVerner
   1411.6 ms  ✓ OrdinaryDiffEqLinear
  10513.3 ms  ✓ NonlinearSolve
   3196.0 ms  ✓ OrdinaryDiffEqNonlinearSolve
   3598.1 ms  ✓ OrdinaryDiffEqIMEXMultistep
   3650.6 ms  ✓ OrdinaryDiffEqStabilizedIRK
   3971.6 ms  ✓ OrdinaryDiffEqPDIRK
   4850.5 ms  ✓ OrdinaryDiffEqSDIRK
   3306.9 ms  ✓ OrdinaryDiffEqExponentialRK
  14587.5 ms  ✓ OrdinaryDiffEqFIRK
  10545.1 ms  ✓ OrdinaryDiffEqBDF
  17423.8 ms  ✓ OrdinaryDiffEqDefault
   3412.0 ms  ✓ OrdinaryDiffEq
  221 dependencies successfully precompiled in 172 seconds. 23 already precompiled.
	Command being timed: "julia +1.11.3 --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 704.66
	System time (seconds): 54.99
