nice: cannot set niceness: Permission denied
Precompiling packages...
    682.7 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
    488.2 ms  ✓ FastPower → FastPowerForwardDiffExt
  12461.4 ms  ✓ ArrayLayouts
    654.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
    556.2 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
    607.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
    641.2 ms  ✓ PolyesterWeave
   1187.1 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
    866.0 ms  ✓ NLSolversBase
   1030.4 ms  ✓ LineSearches
   8389.8 ms  ✓ SciMLBase
    823.3 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   1135.7 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   2798.6 ms  ✓ LazyArrays
    752.7 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1189.2 ms  ✓ LazyArrays → LazyArraysStaticArraysExt
   2360.9 ms  ✓ SciMLJacobianOperators
   4056.7 ms  ✓ LineSearch
   1274.3 ms  ✓ LineSearch → LineSearchLineSearchesExt
   6875.8 ms  ✓ NonlinearSolveBase
   1508.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   1696.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
  31863.4 ms  ✓ ExponentialUtilities
   1067.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseChainRulesCoreExt
   1023.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
  19528.4 ms  ✓ StaticArrayInterface
   1583.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   1985.5 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
    825.3 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
    623.8 ms  ✓ CloseOpenIntervals
    697.0 ms  ✓ LayoutPointers
  14000.9 ms  ✓ LinearSolve
    804.7 ms  ✓ StrideArraysCore
   4556.5 ms  ✓ BracketingNonlinearSolve
   2367.6 ms  ✓ LinearSolve → LinearSolveEnzymeExt
    723.8 ms  ✓ Polyester
   2297.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
    913.1 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   3788.1 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
    766.6 ms  ✓ FastBroadcast
    926.3 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveChainRulesCoreExt
    643.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   6120.2 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
   2047.5 ms  ✓ DiffEqBase
   1039.6 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   1072.1 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   1295.2 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   4154.9 ms  ✓ OrdinaryDiffEqCore
  17704.7 ms  ✓ NonlinearSolveSpectralMethods
   1126.0 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   1163.2 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   1913.9 ms  ✓ OrdinaryDiffEqFunctionMap
   3038.7 ms  ✓ OrdinaryDiffEqStabilizedRK
  16684.2 ms  ✓ SimpleNonlinearSolve
   2198.9 ms  ✓ OrdinaryDiffEqQPRK
   2129.7 ms  ✓ OrdinaryDiffEqSymplecticRK
   3286.0 ms  ✓ OrdinaryDiffEqLowOrderRK
   2564.4 ms  ✓ OrdinaryDiffEqFeagin
   3379.9 ms  ✓ OrdinaryDiffEqSSPRK
   3202.6 ms  ✓ OrdinaryDiffEqRKN
   2970.1 ms  ✓ OrdinaryDiffEqHighOrderRK
   2587.7 ms  ✓ OrdinaryDiffEqExplicitRK
  25427.6 ms  ✓ NonlinearSolveQuasiNewton
   2071.7 ms  ✓ OrdinaryDiffEqPRK
   2316.3 ms  ✓ OrdinaryDiffEqLinear
   3785.1 ms  ✓ OrdinaryDiffEqLowStorageRK
   1196.2 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
   5548.7 ms  ✓ OrdinaryDiffEqDifferentiation
   2999.0 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
   3776.3 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
   3627.7 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
  39378.5 ms  ✓ NonlinearSolveFirstOrder
  15851.8 ms  ✓ OrdinaryDiffEqTsit5
   4988.3 ms  ✓ OrdinaryDiffEqExponentialRK
   5929.9 ms  ✓ OrdinaryDiffEqExtrapolation
   1761.6 ms  ✓ OrdinaryDiffEqNordsieck
  40150.8 ms  ✓ OrdinaryDiffEqVerner
  12824.9 ms  ✓ NonlinearSolve
   3727.0 ms  ✓ OrdinaryDiffEqNonlinearSolve
   4563.1 ms  ✓ OrdinaryDiffEqStabilizedIRK
   4626.1 ms  ✓ OrdinaryDiffEqIMEXMultistep
   4949.2 ms  ✓ OrdinaryDiffEqPDIRK
   5903.4 ms  ✓ OrdinaryDiffEqSDIRK
  28523.3 ms  ✓ OrdinaryDiffEqRosenbrock
  17035.2 ms  ✓ OrdinaryDiffEqBDF
  19116.6 ms  ✓ OrdinaryDiffEqFIRK
  27336.7 ms  ✓ OrdinaryDiffEqDefault
   3727.6 ms  ✓ OrdinaryDiffEq
  212 dependencies successfully precompiled in 183 seconds. 27 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +nightly --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 797.93
	System time (seconds): 50.17
	Percent of CPU this job got: 292%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:49.81
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2535404
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 878
	Minor (reclaiming a frame) page faults: 17543397
	Voluntary context switches: 37680
	Involuntary context switches: 22802
	Swaps: 0
	File system inputs: 0
	File system outputs: 1600992
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
