Precompiling Pkg...
   1926.4 ms  ✓ StrideArraysCore
   1415.3 ms  ✓ DiffRules
   1191.1 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1596.2 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   1598.2 ms  ✓ Polyester
   3795.0 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1308.6 ms  ✓ FastBroadcast
   4027.7 ms  ✓ RecursiveArrayTools
   1894.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
  20434.3 ms  ✓ StaticArrays
   2175.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   2673.2 ms  ✓ Adapt → AdaptStaticArraysExt
   2686.0 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   2771.3 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2724.2 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   2781.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   2891.5 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   2914.7 ms  ✓ Accessors → StaticArraysExt
   2913.6 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   9606.8 ms  ✓ ForwardDiff
   2709.4 ms  ✓ FastPower → FastPowerForwardDiffExt
   2695.2 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   7701.6 ms  ✓ FastGaussQuadrature
   3103.2 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
  19422.4 ms  ✓ SparseMatrixColorings
   3287.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   3590.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
  20165.4 ms  ✓ Krylov
  23912.1 ms  ✓ Moshi
   1774.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   1820.0 ms  ✓ NLSolversBase
   1407.5 ms  ✓ LineSearches
   6020.6 ms  ✓ SciMLBase
    781.8 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
  16695.8 ms  ✓ ArrayLayouts
   1865.9 ms  ✓ DiffEqBase
    861.2 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
   2400.6 ms  ✓ SciMLJacobianOperators
   1547.3 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   1650.0 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   2010.2 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   2940.3 ms  ✓ LazyArrays
   3944.7 ms  ✓ OrdinaryDiffEqCore
    992.7 ms  ✓ LazyArrays → LazyArraysStaticArraysExt
   3767.9 ms  ✓ LineSearch
    989.0 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   2527.6 ms  ✓ LineSearch → LineSearchLineSearchesExt
   7984.7 ms  ✓ OrdinaryDiffEqFunctionMap
  12598.6 ms  ✓ NonlinearSolveBase
  10068.3 ms  ✓ OrdinaryDiffEqPRK
  10293.1 ms  ✓ OrdinaryDiffEqExplicitRK
  10385.3 ms  ✓ OrdinaryDiffEqSymplecticRK
  11040.1 ms  ✓ OrdinaryDiffEqFeagin
  11087.7 ms  ✓ OrdinaryDiffEqHighOrderRK
  11955.8 ms  ✓ OrdinaryDiffEqRKN
  10498.2 ms  ✓ OrdinaryDiffEqQPRK
  12761.2 ms  ✓ OrdinaryDiffEqStabilizedRK
   5391.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
  13779.5 ms  ✓ OrdinaryDiffEqSSPRK
   3417.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   3500.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseDiffEqBaseExt
   4403.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
  14856.6 ms  ✓ OrdinaryDiffEqLowOrderRK
   4791.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   9906.6 ms  ✓ OrdinaryDiffEqLowStorageRK
   4745.2 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
  20184.6 ms  ✓ OrdinaryDiffEqTsit5
   9511.8 ms  ✓ BracketingNonlinearSolve
