Precompiling Pkg...
   2388.1 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   2414.4 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2293.4 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   2200.3 ms  ✓ CloseOpenIntervals
   1912.2 ms  ✓ LayoutPointers
   4798.4 ms  ✓ SparseMatrixColorings
  10513.0 ms  ✓ SpecialFunctions
   1976.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   2180.9 ms  ✓ StrideArraysCore
   1681.9 ms  ✓ DiffRules
   4415.1 ms  ✓ SciMLOperators
   1192.1 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1815.4 ms  ✓ Polyester
   2002.4 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   3882.3 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1291.1 ms  ✓ FastBroadcast
  21905.9 ms  ✓ StaticArrays
   3300.1 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3378.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3373.6 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3382.7 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3390.5 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3484.8 ms  ✓ Adapt → AdaptStaticArraysExt
   3597.4 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   8696.0 ms  ✓ ForwardDiff
   3692.7 ms  ✓ Accessors → StaticArraysExt
   4603.8 ms  ✓ ArnoldiMethod
   2099.6 ms  ✓ PreallocationTools
   2102.8 ms  ✓ FastPower → FastPowerForwardDiffExt
   2395.7 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   2488.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   6299.1 ms  ✓ FastGaussQuadrature
  19687.7 ms  ✓ Krylov
  24653.3 ms  ✓ Moshi
   1931.2 ms  ✓ NLSolversBase
  39431.9 ms  ✓ ArrayLayouts
    573.6 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
   1476.1 ms  ✓ LineSearches
   5821.2 ms  ✓ Graphs
   1634.0 ms  ✓ LazyArrays
    686.4 ms  ✓ VertexSafeGraphs
    800.3 ms  ✓ LazyArrays → LazyArraysStaticArraysExt
   1590.4 ms  ✓ SparseDiffTools
   3303.8 ms  ✓ SparseDiffTools → SparseDiffToolsPolyesterExt
  30061.0 ms  ✓ PrettyTables
   1025.1 ms  ✓ SymbolicIndexingInterface
   1564.9 ms  ✓ RecursiveArrayTools
    683.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
    717.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
    753.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   5657.4 ms  ✓ SciMLBase
    731.3 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   1772.2 ms  ✓ DiffEqBase
   2263.2 ms  ✓ SciMLJacobianOperators
   1798.6 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
