nice: cannot set niceness: Permission denied
Precompiling Pkg...
   2272.9 ms  ✓ StrideArraysCore
   4602.5 ms  ✓ SciMLOperators
   1779.9 ms  ✓ DiffRules
   1987.9 ms  ✓ Polyester
   1692.7 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1895.7 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   3878.4 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1232.0 ms  ✓ FastBroadcast
   5521.1 ms  ✓ RecursiveArrayTools
  22284.9 ms  ✓ StaticArrays
   2868.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   3168.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   2794.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   2841.9 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   2897.3 ms  ✓ Adapt → AdaptStaticArraysExt
   2911.1 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3113.6 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3129.3 ms  ✓ Accessors → StaticArraysExt
   3132.2 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3601.5 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
  10522.9 ms  ✓ ForwardDiff
  20187.0 ms  ✓ SparseMatrixColorings
  21112.0 ms  ✓ Krylov
   3292.8 ms  ✓ FastPower → FastPowerForwardDiffExt
   3402.3 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   3768.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   3835.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   4061.7 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   7538.1 ms  ✓ FastGaussQuadrature
  26500.3 ms  ✓ Moshi
   2535.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   1245.2 ms  ✓ NLSolversBase
   1443.8 ms  ✓ LineSearches
   6479.0 ms  ✓ SciMLBase
   1130.3 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   1435.0 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
  18079.8 ms  ✓ ArrayLayouts
   2262.6 ms  ✓ DiffEqBase
    962.0 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
   3126.5 ms  ✓ SciMLJacobianOperators
