Precompiling Pkg...
   3071.1 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2590.9 ms  ✓ CloseOpenIntervals
   2714.5 ms  ✓ LayoutPointers
   5801.2 ms  ✓ SparseMatrixColorings
   2217.1 ms  ✓ DiffRules
   2028.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   2517.5 ms  ✓ StrideArraysCore
   5522.3 ms  ✓ SciMLOperators
   5724.9 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1819.4 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   2279.9 ms  ✓ Polyester
   2111.7 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   1591.1 ms  ✓ FastBroadcast
  27702.7 ms  ✓ StaticArrays
   8878.0 ms  ✓ ForwardDiff
   2586.9 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   2627.2 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3016.2 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   3385.3 ms  ✓ Adapt → AdaptStaticArraysExt
   3707.7 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3815.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   4111.9 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3411.5 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   3611.3 ms  ✓ FastPower → FastPowerForwardDiffExt
   5067.2 ms  ✓ Accessors → StaticArraysExt
   3018.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   4273.5 ms  ✓ PreallocationTools
  21586.9 ms  ✓ Krylov
   7124.9 ms  ✓ FastGaussQuadrature
  26951.4 ms  ✓ Moshi
   2215.6 ms  ✓ NLSolversBase
  42274.8 ms  ✓ ArrayLayouts
    655.7 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
   1697.7 ms  ✓ LineSearches
   1812.4 ms  ✓ LazyArrays
    914.0 ms  ✓ LazyArrays → LazyArraysStaticArraysExt
  33316.9 ms  ✓ PrettyTables
   1203.1 ms  ✓ SymbolicIndexingInterface
   2000.9 ms  ✓ RecursiveArrayTools
    909.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
    968.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   1089.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   6788.5 ms  ✓ SciMLBase
    886.0 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   2253.1 ms  ✓ DiffEqBase
   2782.5 ms  ✓ SciMLJacobianOperators
   2433.8 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   2853.2 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   3103.5 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   4756.2 ms  ✓ OrdinaryDiffEqCore
   5154.9 ms  ✓ LineSearch
   1323.8 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   6649.4 ms  ✓ LineSearch → LineSearchLineSearchesExt
   7223.4 ms  ✓ OrdinaryDiffEqFunctionMap
  16495.4 ms  ✓ NonlinearSolveBase
  12923.8 ms  ✓ OrdinaryDiffEqSymplecticRK
  13570.6 ms  ✓ OrdinaryDiffEqRKN
  13815.5 ms  ✓ OrdinaryDiffEqSSPRK
  13984.3 ms  ✓ OrdinaryDiffEqPRK
  15609.6 ms  ✓ OrdinaryDiffEqFeagin
  15728.2 ms  ✓ OrdinaryDiffEqStabilizedRK
  18420.8 ms  ✓ OrdinaryDiffEqExplicitRK
   7680.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   6293.1 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
  20852.6 ms  ✓ OrdinaryDiffEqHighOrderRK
