Precompiling Pkg...
   2907.7 ms  ✓ Accessors → AccessorsDatesExt
   3107.7 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   2513.5 ms  ✓ CloseOpenIntervals
   2615.4 ms  ✓ StaticArrayInterface → StaticArrayInterfaceOffsetArraysExt
  13403.6 ms  ✓ SpecialFunctions
   4800.6 ms  ✓ SparseMatrixColorings
   2995.7 ms  ✓ LayoutPointers
   2314.0 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2402.5 ms  ✓ Accessors → AccessorsTestExt
   4523.7 ms  ✓ SymbolicIndexingInterface
   2308.0 ms  ✓ DiffRules
   5694.2 ms  ✓ SciMLOperators
   3882.0 ms  ✓ Sparspak
   2607.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   3295.7 ms  ✓ StrideArraysCore
   1724.6 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   1805.2 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1500.2 ms  ✓ Polyester
   5618.7 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1327.4 ms  ✓ FastBroadcast
   6167.7 ms  ✓ RecursiveArrayTools
  26803.8 ms  ✓ StaticArrays
   2915.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   3125.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   3092.5 ms  ✓ Adapt → AdaptStaticArraysExt
   3195.7 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3194.9 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3201.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3210.0 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3410.9 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3488.1 ms  ✓ Accessors → AccessorsStaticArraysExt
   9901.8 ms  ✓ ForwardDiff
  21701.8 ms  ✓ Krylov
   2609.6 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   4911.2 ms  ✓ ArnoldiMethod
   2070.2 ms  ✓ FastPower → FastPowerForwardDiffExt
   2081.3 ms  ✓ PreallocationTools
   2283.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   2299.6 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   2297.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   2403.8 ms  ✓ NLSolversBase
  45622.1 ms  ✓ ArrayLayouts
  20532.4 ms  ✓ VectorizationBase
   6462.1 ms  ✓ LineSearches
  52589.6 ms  ✓ MLStyle
   1286.3 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
    912.8 ms  ✓ SLEEFPirates
   9008.4 ms  ✓ Graphs
   1813.6 ms  ✓ LazyArrays
    744.8 ms  ✓ VertexSafeGraphs
    980.6 ms  ✓ LazyArrays → LazyArraysStaticArraysExt
   1661.3 ms  ✓ SparseDiffTools
   4134.4 ms  ✓ Expronicon
    988.5 ms  ✓ SparseDiffTools → SparseDiffToolsPolyesterExt
   7647.6 ms  ✓ SciMLBase
    811.2 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   2234.9 ms  ✓ SciMLJacobianOperators
   9219.2 ms  ✓ DiffEqBase
  21288.4 ms  ✓ LoopVectorization
   8701.9 ms  ✓ LineSearch
   2030.5 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   2214.4 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   1610.4 ms  ✓ LoopVectorization → SpecialFunctionsExt
   1754.7 ms  ✓ TriangularSolve
   1804.5 ms  ✓ LoopVectorization → ForwardDiffExt
   1375.1 ms  ✓ LineSearch → LineSearchLineSearchesExt
  10991.7 ms  ✓ NonlinearSolveBase
   4986.4 ms  ✓ OrdinaryDiffEqCore
   1987.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   2186.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   2317.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   2492.9 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseDiffEqBaseExt
   2525.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   1867.6 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
  11441.3 ms  ✓ OrdinaryDiffEqFunctionMap
  12007.6 ms  ✓ OrdinaryDiffEqPRK
  12449.7 ms  ✓ OrdinaryDiffEqExplicitRK
  12897.4 ms  ✓ OrdinaryDiffEqFeagin
  13546.7 ms  ✓ OrdinaryDiffEqHighOrderRK
  14106.7 ms  ✓ OrdinaryDiffEqRKN
  14143.4 ms  ✓ OrdinaryDiffEqStabilizedRK
  14639.5 ms  ✓ OrdinaryDiffEqSymplecticRK
  16743.4 ms  ✓ OrdinaryDiffEqSSPRK
  19684.9 ms  ✓ BracketingNonlinearSolve
  20746.8 ms  ✓ OrdinaryDiffEqLowOrderRK
   4715.5 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
  26505.6 ms  ✓ RecursiveFactorization
  11801.0 ms  ✓ OrdinaryDiffEqQPRK
  75995.7 ms  ✓ ExponentialUtilities
  26227.6 ms  ✓ OrdinaryDiffEqTsit5
  14217.9 ms  ✓ OrdinaryDiffEqLowStorageRK
   6490.7 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
  28117.6 ms  ✓ NonlinearSolveSpectralMethods
   2444.9 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
   2828.9 ms  ✓ OrdinaryDiffEqNordsieck
   1337.5 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
  12607.9 ms  ✓ SimpleNonlinearSolve
   1008.8 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
   1071.5 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveDiffEqBaseExt
  30925.8 ms  ✓ LinearSolve
   2117.3 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   2201.4 ms  ✓ LinearSolve → LinearSolveRecursiveArrayToolsExt
   2272.9 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
  55568.0 ms  ✓ OrdinaryDiffEqVerner
   1630.8 ms  ✓ OrdinaryDiffEqLinear
   3200.0 ms  ✓ OrdinaryDiffEqDifferentiation
   5006.4 ms  ✓ OrdinaryDiffEqExtrapolation
  10739.0 ms  ✓ NonlinearSolveQuasiNewton
   2534.4 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  16822.2 ms  ✓ NonlinearSolveFirstOrder
  17231.8 ms  ✓ OrdinaryDiffEqRosenbrock
   9756.2 ms  ✓ NonlinearSolve
   3825.4 ms  ✓ OrdinaryDiffEqNonlinearSolve
   4221.4 ms  ✓ OrdinaryDiffEqIMEXMultistep
   4309.8 ms  ✓ OrdinaryDiffEqStabilizedIRK
   4543.4 ms  ✓ OrdinaryDiffEqPDIRK
   4905.0 ms  ✓ OrdinaryDiffEqFIRK
   5249.6 ms  ✓ OrdinaryDiffEqSDIRK
   3583.6 ms  ✓ OrdinaryDiffEqExponentialRK
   9360.5 ms  ✓ OrdinaryDiffEqBDF
  17234.6 ms  ✓ OrdinaryDiffEqDefault
   3930.9 ms  ✓ OrdinaryDiffEq
  234 dependencies successfully precompiled in 206 seconds. 23 already precompiled.
	Command being timed: "julia +1.11.2 --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 789.39
	System time (seconds): 59.88
	Percent of CPU this job got: 338%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:10.62
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2025188
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 1080
	Minor (reclaiming a frame) page faults: 14536941
	Voluntary context switches: 311733
	Involuntary context switches: 133863
	Swaps: 0
	File system inputs: 0
	File system outputs: 2182144
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
