nice: cannot set niceness: Permission denied
Precompiling packages...
   2618.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  14226.4 ms  ✓ RecursiveArrayTools
   1657.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   1678.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   1756.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsTablesExt
   1874.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   2261.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  58051.2 ms  ✓ LHLFactorization
  21576.2 ms  ✓ SciMLBase
  50950.6 ms  ✓ PureKLU
    902.9 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
    747.2 ms  ✓ PureKLU → PureKLUForwardDiffExt
   1243.6 ms  ✓ LHLFactorization → LHLFactorizationSparseExt
   2155.7 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   3430.3 ms  ✓ SciMLJacobianOperators
  79464.6 ms  ✓ REPL
  12435.5 ms  ✓ LineSearch
   5071.2 ms  ✓ Pkg → REPLExt
  27031.3 ms  ✓ LinearSolve
   2094.7 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   2361.8 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
  21800.8 ms  ✓ PrettyTables
    682.8 ms  ✓ SymbolicIndexingInterface → SymbolicIndexingInterfacePrettyTablesExt
   4199.3 ms  ✓ TimerOutputs
   6109.3 ms  ✓ NonlinearSolveBase
   1460.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   1767.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   1808.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   2301.6 ms  ✓ BracketingNonlinearSolve
   3413.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   1302.0 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   6058.9 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   5990.9 ms  ✓ DiffEqBase
   2961.5 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
  10987.0 ms  ✓ NonlinearSolveSpectralMethods
   1653.8 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   7379.9 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
  10949.1 ms  ✓ SimpleNonlinearSolve
   8938.6 ms  ✓ OrdinaryDiffEqCore
   1525.3 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   4837.9 ms  ✓ OrdinaryDiffEqDifferentiation
   2459.7 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
  18829.0 ms  ✓ OrdinaryDiffEqTsit5
  33329.4 ms  ✓ NonlinearSolveQuasiNewton
   2198.7 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  35063.5 ms  ✓ OrdinaryDiffEqVerner
  54416.5 ms  ✓ NonlinearSolveFirstOrder
  54173.8 ms  ✓ OrdinaryDiffEqRosenbrock
  56850.2 ms  ✓ NonlinearSolve
   4658.7 ms  ✓ OrdinaryDiffEqNonlinearSolve
  32839.6 ms  ✓ OrdinaryDiffEqSDIRK
  25281.5 ms  ✓ OrdinaryDiffEqBDF
  68581.5 ms  ✓ OrdinaryDiffEqDefault
   3658.6 ms  ✓ OrdinaryDiffEq
  158 dependencies successfully precompiled in 388 seconds. 26 already precompiled.
  24 dependencies precompiled but different versions are currently loaded (ArgTools, Base64, Dates, Downloads, JuliaSyntaxHighlighting, LibCURL, LibCURL_jll, LibGit2, LibGit2_jll, LibSSH2_jll, Logging, Markdown, MozillaCACerts_jll, NetworkOptions, OpenSSL_jll, Pkg, Printf, StyledStrings, TOML, Tar, UUIDs, Zlib_jll, nghttp2_jll and p7zip_jll). Restart julia to access the new versions. Otherwise, 109 dependents of these packages may trigger further precompilation to work with the unexpected versions.
