nice: cannot set niceness: Permission denied
Precompiling Pkg...
   3207.0 ms  ✓ SymbolicIndexingInterface
   2108.6 ms  ✓ StrideArraysCore
   4426.0 ms  ✓ SciMLOperators
   1590.2 ms  ✓ Polyester
   1584.2 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   4394.1 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   2169.8 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   1447.8 ms  ✓ FastBroadcast
   5207.0 ms  ✓ RecursiveArrayTools
  21989.3 ms  ✓ StaticArrays
   2703.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   2888.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   2699.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   2736.1 ms  ✓ Adapt → AdaptStaticArraysExt
   2822.8 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2834.2 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3012.3 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3068.5 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   3785.2 ms  ✓ Accessors → StaticArraysExt
   3804.4 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   9774.7 ms  ✓ ForwardDiff
   3329.0 ms  ✓ FastPower → FastPowerForwardDiffExt
   3593.4 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   4065.9 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   4413.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   4476.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  20302.3 ms  ✓ SparseMatrixColorings
   6820.8 ms  ✓ FastGaussQuadrature
  21179.6 ms  ✓ Krylov
  25372.8 ms  ✓ Moshi
   1763.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   2201.9 ms  ✓ NLSolversBase
   1474.9 ms  ✓ LineSearches
   6505.5 ms  ✓ SciMLBase
   1064.1 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
  17857.7 ms  ✓ ArrayLayouts
   1366.0 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
    914.9 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
   2209.7 ms  ✓ DiffEqBase
   2866.9 ms  ✓ SciMLJacobianOperators
