nice: cannot set niceness: Permission denied
Precompiling packages...
  10598.1 ms  ✓ ForwardDiff
  10821.1 ms  ✓ RecursiveArrayTools
   6694.5 ms  ✓ FastGaussQuadrature
   4512.9 ms  ✓ Accessors → StaticArraysExt
   4716.6 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   4703.2 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   3091.0 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   3107.2 ms  ✓ FastPower → FastPowerForwardDiffExt
  19498.2 ms  ✓ SparseMatrixColorings
   2597.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   2583.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
  22599.1 ms  ✓ Moshi
   3428.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   2748.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   3654.8 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
  20123.3 ms  ✓ Krylov
    685.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
    579.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   7614.6 ms  ✓ SciMLBase
    854.5 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
    942.5 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   1137.3 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   2742.0 ms  ✓ SciMLJacobianOperators
  32871.7 ms  ✓ ExponentialUtilities
   5111.5 ms  ✓ LineSearch
   1122.7 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
    943.1 ms  ✓ LineSearch → LineSearchLineSearchesExt
   6466.6 ms  ✓ NonlinearSolveBase
   1646.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
  11754.9 ms  ✓ LinearSolve
   1577.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   1578.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseChainRulesCoreExt
   1595.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   1781.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   2731.2 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
