Precompiling Pkg...
   2103.1 ms  ✓ PolyesterWeave
   1808.7 ms  ✓ CloseOpenIntervals
   2003.3 ms  ✓ LayoutPointers
   1901.7 ms  ✓ DiffRules
   5305.0 ms  ✓ SciMLOperators
   2122.6 ms  ✓ StrideArraysCore
   1524.1 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   4594.3 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   2029.8 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   2070.4 ms  ✓ Polyester
   1225.6 ms  ✓ FastBroadcast
  21597.9 ms  ✓ StaticArrays
   3013.1 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3011.9 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3109.6 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3308.4 ms  ✓ Adapt → AdaptStaticArraysExt
   3316.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3591.4 ms  ✓ Accessors → StaticArraysExt
  10480.4 ms  ✓ ForwardDiff
   3824.5 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3814.0 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   2511.1 ms  ✓ FastPower → FastPowerForwardDiffExt
   3108.9 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
  19536.3 ms  ✓ SparseMatrixColorings
   7203.8 ms  ✓ FastGaussQuadrature
   3793.4 ms  ✓ PreallocationTools
   4101.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  22178.9 ms  ✓ Krylov
  39420.7 ms  ✓ ArrayLayouts
   2273.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
  27427.6 ms  ✓ Moshi
   1819.5 ms  ✓ NLSolversBase
    840.5 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
   1354.7 ms  ✓ LineSearches
   1669.1 ms  ✓ LazyArrays
    816.4 ms  ✓ LazyArrays → LazyArraysStaticArraysExt
  29095.0 ms  ✓ PrettyTables
   1046.9 ms  ✓ SymbolicIndexingInterface
   1570.4 ms  ✓ RecursiveArrayTools
    712.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
    712.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
    760.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   5735.1 ms  ✓ SciMLBase
    746.4 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   1847.8 ms  ✓ DiffEqBase
   2467.8 ms  ✓ SciMLJacobianOperators
   1738.1 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   1903.7 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   2131.9 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   3898.4 ms  ✓ OrdinaryDiffEqCore
   3994.7 ms  ✓ LineSearch
   1116.2 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   4382.8 ms  ✓ LineSearch → LineSearchLineSearchesExt
   8259.6 ms  ✓ OrdinaryDiffEqFunctionMap
  13884.9 ms  ✓ NonlinearSolveBase
   9959.1 ms  ✓ OrdinaryDiffEqPRK
  11474.5 ms  ✓ OrdinaryDiffEqSymplecticRK
  11885.0 ms  ✓ OrdinaryDiffEqExplicitRK
  12073.5 ms  ✓ OrdinaryDiffEqFeagin
  12385.6 ms  ✓ OrdinaryDiffEqHighOrderRK
  12857.6 ms  ✓ OrdinaryDiffEqRKN
  13485.9 ms  ✓ OrdinaryDiffEqStabilizedRK
  10589.6 ms  ✓ OrdinaryDiffEqQPRK
  15873.7 ms  ✓ OrdinaryDiffEqSSPRK
   9397.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   8195.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
  20592.7 ms  ✓ OrdinaryDiffEqLowOrderRK
  10206.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
  12410.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
  11192.1 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseDiffEqBaseExt
  29699.8 ms  ✓ LinearSolve
  19146.4 ms  ✓ OrdinaryDiffEqLowStorageRK
  72005.8 ms  ✓ ExponentialUtilities
  29775.5 ms  ✓ OrdinaryDiffEqTsit5
   9409.2 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
   7928.1 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   8032.1 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
  19700.9 ms  ✓ BracketingNonlinearSolve
   3324.5 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
   9706.0 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
   3604.2 ms  ✓ OrdinaryDiffEqNordsieck
   4537.4 ms  ✓ OrdinaryDiffEqLinear
   1685.6 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
  11220.6 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
   1754.5 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveChainRulesCoreExt
  14831.7 ms  ✓ NonlinearSolveSpectralMethods
   1506.2 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   5797.0 ms  ✓ OrdinaryDiffEqDifferentiation
  12667.9 ms  ✓ SimpleNonlinearSolve
   1915.9 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
   1997.9 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveDiffEqBaseExt
   8124.2 ms  ✓ OrdinaryDiffEqExtrapolation
  16929.4 ms  ✓ NonlinearSolveQuasiNewton
   5070.6 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  30888.4 ms  ✓ NonlinearSolveFirstOrder
  65720.2 ms  ✓ OrdinaryDiffEqVerner
  30385.1 ms  ✓ OrdinaryDiffEqRosenbrock
   9908.5 ms  ✓ NonlinearSolve
   3550.6 ms  ✓ OrdinaryDiffEqNonlinearSolve
   3834.6 ms  ✓ OrdinaryDiffEqIMEXMultistep
   3852.6 ms  ✓ OrdinaryDiffEqStabilizedIRK
   4377.6 ms  ✓ OrdinaryDiffEqPDIRK
   5352.8 ms  ✓ OrdinaryDiffEqSDIRK
   3553.6 ms  ✓ OrdinaryDiffEqExponentialRK
  10745.6 ms  ✓ OrdinaryDiffEqBDF
  16382.0 ms  ✓ OrdinaryDiffEqFIRK
  21845.6 ms  ✓ OrdinaryDiffEqDefault
   3653.1 ms  ✓ OrdinaryDiffEq
  218 dependencies successfully precompiled in 192 seconds. 23 already precompiled.
	Command being timed: "julia +1.11.6 --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 767.73
	System time (seconds): 52.96
	Percent of CPU this job got: 344%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:57.92
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2029964
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 863
	Minor (reclaiming a frame) page faults: 13812100
	Voluntary context switches: 290206
	Involuntary context switches: 146199
	Swaps: 0
	File system inputs: 18144
	File system outputs: 2104912
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
