nice: cannot set niceness: Permission denied
Precompiling Pkg...
   2771.7 ms  ✓ SymbolicIndexingInterface
   1600.5 ms  ✓ DiffRules
   4484.9 ms  ✓ SciMLOperators
   1699.7 ms  ✓ Polyester
   1321.9 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1573.2 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   1396.4 ms  ✓ FastBroadcast
   4408.1 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   5096.4 ms  ✓ RecursiveArrayTools
  20594.7 ms  ✓ StaticArrays
   2721.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   2827.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   2506.4 ms  ✓ Adapt → AdaptStaticArraysExt
   2571.1 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   2599.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   2696.7 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   2700.5 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   2732.3 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2790.9 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   2910.6 ms  ✓ Accessors → StaticArraysExt
   9099.9 ms  ✓ ForwardDiff
   3566.0 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   3695.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   4087.1 ms  ✓ FastPower → FastPowerForwardDiffExt
   4302.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
  19231.9 ms  ✓ SparseMatrixColorings
   5107.4 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   7270.1 ms  ✓ FastGaussQuadrature
  24943.3 ms  ✓ Moshi
   1665.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   2424.2 ms  ✓ NLSolversBase
  21023.1 ms  ✓ Krylov
   1449.6 ms  ✓ LineSearches
   6465.2 ms  ✓ SciMLBase
   1084.0 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
  17521.4 ms  ✓ ArrayLayouts
   1335.2 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
    804.1 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
   2302.3 ms  ✓ DiffEqBase
   2641.8 ms  ✓ SciMLJacobianOperators
   1620.1 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   1894.1 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   2092.3 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   2994.2 ms  ✓ LazyArrays
    989.1 ms  ✓ LazyArrays → LazyArraysStaticArraysExt
   4133.2 ms  ✓ OrdinaryDiffEqCore
   3921.3 ms  ✓ LineSearch
   1000.0 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   2057.4 ms  ✓ LineSearch → LineSearchLineSearchesExt
   7231.5 ms  ✓ OrdinaryDiffEqFunctionMap
  12284.0 ms  ✓ NonlinearSolveBase
   9577.8 ms  ✓ OrdinaryDiffEqSymplecticRK
  10248.4 ms  ✓ OrdinaryDiffEqPRK
  10702.3 ms  ✓ OrdinaryDiffEqFeagin
  11387.9 ms  ✓ OrdinaryDiffEqExplicitRK
  11587.2 ms  ✓ OrdinaryDiffEqStabilizedRK
  12040.7 ms  ✓ OrdinaryDiffEqRKN
  12641.6 ms  ✓ OrdinaryDiffEqHighOrderRK
  13642.4 ms  ✓ OrdinaryDiffEqSSPRK
   6199.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
  12598.9 ms  ✓ OrdinaryDiffEqQPRK
   3270.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   4258.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   5265.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   3465.1 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseDiffEqBaseExt
  15749.5 ms  ✓ OrdinaryDiffEqLowOrderRK
  10219.5 ms  ✓ OrdinaryDiffEqLowStorageRK
  19843.4 ms  ✓ OrdinaryDiffEqTsit5
   9155.2 ms  ✓ BracketingNonlinearSolve
   5006.9 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
   1243.8 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   2288.9 ms  ✓ OrdinaryDiffEqNordsieck
   1791.2 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveChainRulesCoreExt
  28022.9 ms  ✓ LinearSolve
  13795.6 ms  ✓ NonlinearSolveSpectralMethods
