nice: cannot set niceness: Permission denied
Precompiling Pkg...
   2107.1 ms  ✓ StrideArraysCore
   4140.8 ms  ✓ SciMLOperators
   1597.6 ms  ✓ DiffRules
   1497.7 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   2009.9 ms  ✓ Polyester
   2017.5 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   4204.6 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1478.5 ms  ✓ FastBroadcast
   4668.9 ms  ✓ RecursiveArrayTools
   1507.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   1704.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  22622.8 ms  ✓ StaticArrays
   2863.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   2806.9 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3173.6 ms  ✓ Adapt → AdaptStaticArraysExt
   3223.6 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3264.3 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3341.2 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   3581.8 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3666.9 ms  ✓ Accessors → StaticArraysExt
  10408.0 ms  ✓ ForwardDiff
   3490.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  21004.9 ms  ✓ SparseMatrixColorings
  21016.8 ms  ✓ Krylov
   3524.0 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   3752.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   4448.7 ms  ✓ FastPower → FastPowerForwardDiffExt
   4487.9 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   9007.8 ms  ✓ FastGaussQuadrature
  26846.0 ms  ✓ Moshi
   1930.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   2141.2 ms  ✓ NLSolversBase
   1524.2 ms  ✓ LineSearches
   6567.2 ms  ✓ SciMLBase
   1205.4 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   1545.9 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
  17659.2 ms  ✓ ArrayLayouts
   2342.1 ms  ✓ DiffEqBase
   1224.7 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
   3252.2 ms  ✓ SciMLJacobianOperators
   1913.4 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   1934.9 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   2159.5 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   4589.1 ms  ✓ LazyArrays
   7646.1 ms  ✓ OrdinaryDiffEqCore
   3903.7 ms  ✓ LazyArrays → LazyArraysStaticArraysExt
   8947.7 ms  ✓ LineSearch
   3797.4 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   5046.2 ms  ✓ LineSearch → LineSearchLineSearchesExt
  57900.2 ms  ✓ ExplicitImports
  20626.7 ms  ✓ NonlinearSolveBase
  10065.2 ms  ✓ OrdinaryDiffEqFunctionMap
  10749.0 ms  ✓ OrdinaryDiffEqSymplecticRK
  11105.0 ms  ✓ OrdinaryDiffEqExplicitRK
  11158.9 ms  ✓ OrdinaryDiffEqHighOrderRK
  11357.4 ms  ✓ OrdinaryDiffEqPRK
  13300.6 ms  ✓ OrdinaryDiffEqRKN
  14399.6 ms  ✓ OrdinaryDiffEqStabilizedRK
   3931.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
  15150.5 ms  ✓ OrdinaryDiffEqSSPRK
  11834.9 ms  ✓ OrdinaryDiffEqFeagin
   5338.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   9348.9 ms  ✓ OrdinaryDiffEqQPRK
   4241.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseDiffEqBaseExt
   4760.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   5349.1 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
  16133.1 ms  ✓ OrdinaryDiffEqLowOrderRK
   9607.8 ms  ✓ OrdinaryDiffEqLowStorageRK
  20585.9 ms  ✓ OrdinaryDiffEqTsit5
   4575.8 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
   8628.9 ms  ✓ BracketingNonlinearSolve
   2311.6 ms  ✓ OrdinaryDiffEqNordsieck
   1165.0 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   1363.0 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveChainRulesCoreExt
  12101.4 ms  ✓ NonlinearSolveSpectralMethods
  30529.3 ms  ✓ LinearSolve
   1759.5 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   3475.4 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   3544.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   4606.1 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
   5843.6 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
  19754.2 ms  ✓ SimpleNonlinearSolve
   2035.9 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
  85458.1 ms  ✓ ExponentialUtilities
   2337.0 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveDiffEqBaseExt
  11748.3 ms  ✓ OrdinaryDiffEqDifferentiation
   1848.4 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
   2921.7 ms  ✓ OrdinaryDiffEqLinear
  12727.8 ms  ✓ OrdinaryDiffEqExtrapolation
  11804.9 ms  ✓ OrdinaryDiffEqExponentialRK
  28907.0 ms  ✓ NonlinearSolveQuasiNewton
   2157.6 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  65647.2 ms  ✓ OrdinaryDiffEqVerner
  37508.7 ms  ✓ NonlinearSolveFirstOrder
  30481.9 ms  ✓ OrdinaryDiffEqRosenbrock
  10566.2 ms  ✓ NonlinearSolve
   3282.1 ms  ✓ OrdinaryDiffEqNonlinearSolve
   3794.7 ms  ✓ OrdinaryDiffEqIMEXMultistep
   3813.4 ms  ✓ OrdinaryDiffEqStabilizedIRK
   4099.8 ms  ✓ OrdinaryDiffEqPDIRK
   5182.1 ms  ✓ OrdinaryDiffEqSDIRK
  10966.6 ms  ✓ OrdinaryDiffEqBDF
  16373.5 ms  ✓ OrdinaryDiffEqFIRK
  21462.7 ms  ✓ OrdinaryDiffEqDefault
   3620.2 ms  ✓ OrdinaryDiffEq
  213 dependencies successfully precompiled in 192 seconds. 23 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.11.6 --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 781.57
	System time (seconds): 51.50
	Percent of CPU this job got: 349%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:58.45
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2046412
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 928
	Minor (reclaiming a frame) page faults: 13603856
	Voluntary context switches: 269723
	Involuntary context switches: 144077
	Swaps: 0
	File system inputs: 0
	File system outputs: 2178264
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
