Precompiling Pkg...
   2999.1 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   4200.2 ms  ✓ KLU
   2991.9 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   5304.1 ms  ✓ SymbolicIndexingInterface
   2801.1 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   2390.7 ms  ✓ StaticArrayInterface → StaticArrayInterfaceOffsetArraysExt
   6201.5 ms  ✓ SciMLOperators
   5200.6 ms  ✓ SparseMatrixColorings
   3289.9 ms  ✓ Accessors → AccessorsTestExt
   3491.4 ms  ✓ LayoutPointers
   2979.2 ms  ✓ DiffRules
   2589.1 ms  ✓ CloseOpenIntervals
   2893.6 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2397.8 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   4612.7 ms  ✓ Sparspak
   3081.7 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   2829.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   1820.1 ms  ✓ FunctionProperties
   6719.1 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   2595.1 ms  ✓ StrideArraysCore
   6411.2 ms  ✓ RecursiveArrayTools
   2319.8 ms  ✓ Polyester
  26689.6 ms  ✓ StaticArrays
   2477.9 ms  ✓ FastBroadcast
   3614.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   2693.9 ms  ✓ Adapt → AdaptStaticArraysExt
   2789.4 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2882.6 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   2979.3 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3198.4 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3203.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3373.0 ms  ✓ Accessors → AccessorsStaticArraysExt
   1819.0 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   3894.4 ms  ✓ ArnoldiMethod
   1819.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   9790.8 ms  ✓ ForwardDiff
  18795.3 ms  ✓ Krylov
   1927.3 ms  ✓ FastPower → FastPowerForwardDiffExt
   2226.0 ms  ✓ PreallocationTools
   2227.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   2412.4 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   2409.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   2498.6 ms  ✓ NLSolversBase
  42688.5 ms  ✓ ArrayLayouts
   4920.1 ms  ✓ LineSearches
   2198.7 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
  52037.7 ms  ✓ MLStyle
  20112.6 ms  ✓ VectorizationBase
  10100.6 ms  ✓ Graphs
    883.0 ms  ✓ SLEEFPirates
    798.8 ms  ✓ VertexSafeGraphs
   2932.4 ms  ✓ LazyArrays
    997.0 ms  ✓ LazyArrays → LazyArraysStaticArraysExt
   1746.1 ms  ✓ SparseDiffTools
   1034.2 ms  ✓ SparseDiffTools → SparseDiffToolsPolyesterExt
   4340.5 ms  ✓ Expronicon
   7686.8 ms  ✓ SciMLBase
    855.7 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   2297.5 ms  ✓ SciMLJacobianOperators
   9642.2 ms  ✓ DiffEqBase
  22130.2 ms  ✓ LoopVectorization
   9225.9 ms  ✓ LineSearch
   2590.5 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   2588.7 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   1518.6 ms  ✓ LoopVectorization → SpecialFunctionsExt
   1670.8 ms  ✓ TriangularSolve
   1811.5 ms  ✓ LoopVectorization → ForwardDiffExt
   1631.1 ms  ✓ LineSearch → LineSearchLineSearchesExt
  11838.4 ms  ✓ NonlinearSolveBase
   5379.8 ms  ✓ OrdinaryDiffEqCore
   1895.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   2398.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   2424.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   2488.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseDiffEqBaseExt
   2592.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   2071.0 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   9323.3 ms  ✓ OrdinaryDiffEqFunctionMap
  13419.8 ms  ✓ OrdinaryDiffEqExplicitRK
  13397.0 ms  ✓ OrdinaryDiffEqFeagin
