nice: cannot set niceness: Permission denied
Precompiling packages...
  14408.7 ms  ✓ RecursiveArrayTools
   4069.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   2793.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   2880.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsTablesExt
   2888.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   2903.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   3758.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  57115.1 ms  ✓ LHLFactorization
  19137.7 ms  ✓ SciMLBase
  48936.1 ms  ✓ PureKLU
    733.5 ms  ✓ PureKLU → PureKLUForwardDiffExt
    842.1 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1228.4 ms  ✓ LHLFactorization → LHLFactorizationSparseExt
   1969.2 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   5620.5 ms  ✓ SciMLJacobianOperators
  77417.3 ms  ✓ REPL
   8961.3 ms  ✓ LineSearch
   4819.3 ms  ✓ Pkg → REPLExt
  24484.7 ms  ✓ LinearSolve
   1958.8 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   2184.1 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
  20277.1 ms  ✓ PrettyTables
    664.2 ms  ✓ SymbolicIndexingInterface → SymbolicIndexingInterfacePrettyTablesExt
   4128.8 ms  ✓ TimerOutputs
   5874.1 ms  ✓ NonlinearSolveBase
   1385.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   1671.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   1693.9 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   2163.5 ms  ✓ BracketingNonlinearSolve
   3286.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   1270.3 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   5819.9 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   5619.9 ms  ✓ DiffEqBase
   2300.9 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
  10315.5 ms  ✓ NonlinearSolveSpectralMethods
   1569.5 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   6839.8 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   8260.4 ms  ✓ OrdinaryDiffEqCore
  10364.0 ms  ✓ SimpleNonlinearSolve
   1457.5 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   4711.5 ms  ✓ OrdinaryDiffEqDifferentiation
   2422.8 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
  18113.8 ms  ✓ OrdinaryDiffEqTsit5
  31868.1 ms  ✓ NonlinearSolveQuasiNewton
   2065.3 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  32096.6 ms  ✓ OrdinaryDiffEqVerner
  48972.7 ms  ✓ NonlinearSolveFirstOrder
  48871.2 ms  ✓ OrdinaryDiffEqRosenbrock
  50256.0 ms  ✓ NonlinearSolve
   4505.7 ms  ✓ OrdinaryDiffEqNonlinearSolve
  31157.7 ms  ✓ OrdinaryDiffEqSDIRK
  24174.0 ms  ✓ OrdinaryDiffEqBDF
  61532.6 ms  ✓ OrdinaryDiffEqDefault
   3544.4 ms  ✓ OrdinaryDiffEq
  158 dependencies successfully precompiled in 360 seconds. 26 already precompiled.
  24 dependencies precompiled but different versions are currently loaded (ArgTools, Base64, Dates, Downloads, JuliaSyntaxHighlighting, LibCURL, LibCURL_jll, LibGit2, LibGit2_jll, LibSSH2_jll, Logging, Markdown, MozillaCACerts_jll, NetworkOptions, OpenSSL_jll, Pkg, Printf, StyledStrings, TOML, Tar, UUIDs, Zlib_jll, nghttp2_jll and p7zip_jll). Restart julia to access the new versions. Otherwise, 109 dependents of these packages may trigger further precompilation to work with the unexpected versions.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 1203.74
	System time (seconds): 52.26
	Percent of CPU this job got: 296%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 7:03.70
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2928176
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 924
	Minor (reclaiming a frame) page faults: 15444870
	Voluntary context switches: 34663
	Involuntary context switches: 73293
	Swaps: 0
	File system inputs: 0
	File system outputs: 2301952
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
