nice: cannot set niceness: Permission denied
Precompiling Pkg...
   1842.9 ms  ✓ DiffRules
   2791.4 ms  ✓ StrideArraysCore
   5254.9 ms  ✓ SciMLOperators
   1690.3 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   2388.3 ms  ✓ Polyester
   2283.2 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   5299.7 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1630.5 ms  ✓ FastBroadcast
   5167.7 ms  ✓ RecursiveArrayTools
   2097.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   2304.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  25623.5 ms  ✓ StaticArrays
   2932.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3203.6 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3231.7 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3339.6 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3443.2 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3404.4 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   3830.5 ms  ✓ Adapt → AdaptStaticArraysExt
   4191.7 ms  ✓ Accessors → StaticArraysExt
  12546.7 ms  ✓ ForwardDiff
  22161.3 ms  ✓ SparseMatrixColorings
   3194.4 ms  ✓ FastPower → FastPowerForwardDiffExt
  23856.6 ms  ✓ Krylov
   3749.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   4363.2 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   4304.2 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   4405.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
  29395.2 ms  ✓ Moshi
  10077.3 ms  ✓ FastGaussQuadrature
   2096.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   1657.5 ms  ✓ NLSolversBase
   1712.6 ms  ✓ LineSearches
   7346.5 ms  ✓ SciMLBase
   1361.6 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   1683.5 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
  19019.2 ms  ✓ ArrayLayouts
    999.8 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
   2765.8 ms  ✓ DiffEqBase
   3614.2 ms  ✓ SciMLJacobianOperators
   2089.6 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   2553.7 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   2667.4 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   3736.1 ms  ✓ LazyArrays
