nice: cannot set niceness: Permission denied
Precompiling packages...
   1771.7 ms  ✓ PolyesterWeave
   6798.9 ms  ✓ SymbolicIndexingInterface
   8091.6 ms  ✓ SciMLOperators
   1230.2 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   2295.2 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
  31906.1 ms  ✓ StaticArrays
  20818.6 ms  ✓ SparseMatrixColorings
   3624.6 ms  ✓ Adapt → AdaptStaticArraysExt
   3699.9 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3705.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3796.1 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   4088.4 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   4087.8 ms  ✓ Accessors → StaticArraysExt
  15591.1 ms  ✓ ForwardDiff
  11357.1 ms  ✓ RecursiveArrayTools
   3796.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
  25170.3 ms  ✓ Krylov
   2499.2 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   2695.0 ms  ✓ FastPower → FastPowerForwardDiffExt
   3301.6 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   7694.0 ms  ✓ FastGaussQuadrature
   2907.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   8692.3 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3838.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  32892.5 ms  ✓ Moshi
   5731.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
    880.8 ms  ✓ NLSolversBase
   1975.3 ms  ✓ LineSearches
  21887.2 ms  ✓ ArrayLayouts
  15705.2 ms  ✓ SciMLBase
  38104.1 ms  ✓ StaticArrayInterface
   5098.6 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
