nice: cannot set niceness: Permission denied
Precompiling packages...
   1703.3 ms  ✓ BitTwiddlingConvenienceFunctions
   3196.4 ms  ✓ CPUSummary
   8283.2 ms  ✓ SymbolicIndexingInterface
   8304.4 ms  ✓ SciMLOperators
   2294.1 ms  ✓ PolyesterWeave
   1785.8 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   2298.8 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   5506.3 ms  ✓ LineSearches
  15401.3 ms  ✓ ForwardDiff
  22914.6 ms  ✓ SparseMatrixColorings
  36895.7 ms  ✓ StaticArrays
   2299.2 ms  ✓ FastPower → FastPowerForwardDiffExt
   3208.9 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3484.7 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3599.4 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3795.2 ms  ✓ FillArrays → FillArraysStaticArraysExt
   4470.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   4401.8 ms  ✓ Adapt → AdaptStaticArraysExt
   4869.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   6080.7 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
  29610.8 ms  ✓ Krylov
   6083.5 ms  ✓ Accessors → StaticArraysExt
  10164.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   7995.6 ms  ✓ FastGaussQuadrature
   6904.9 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
  10501.8 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
  40641.7 ms  ✓ Moshi
  21309.3 ms  ✓ RecursiveArrayTools
  25840.2 ms  ✓ StaticArrayInterface
    731.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
    830.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
    852.5 ms  ✓ CloseOpenIntervals
   1012.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
    899.9 ms  ✓ LayoutPointers
    947.4 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
    729.9 ms  ✓ StrideArraysCore
    622.0 ms  ✓ Polyester
    614.9 ms  ✓ FastBroadcast
    589.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
  44812.5 ms  ✓ ExponentialUtilities
  11591.6 ms  ✓ SciMLBase
    895.8 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1038.2 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   1598.6 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
   1858.3 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   3212.8 ms  ✓ SciMLJacobianOperators
   4001.1 ms  ✓ LineSearch
   8521.2 ms  ✓ LinearSolve
   1585.1 ms  ✓ LineSearch → LineSearchLineSearchesExt
   7300.7 ms  ✓ NonlinearSolveBase
   2544.9 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseChainRulesCoreExt
   2775.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   2791.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   4738.4 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
   2958.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   2959.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   5808.5 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
   4469.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   5711.9 ms  ✓ BracketingNonlinearSolve
   2167.1 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   1120.7 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
    983.5 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveChainRulesCoreExt
   2548.4 ms  ✓ DiffEqBase
   1521.9 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   1643.9 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   1648.9 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   8265.5 ms  ✓ NonlinearSolveSpectralMethods
   1014.1 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   4732.8 ms  ✓ OrdinaryDiffEqCore
   7961.8 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
  13146.0 ms  ✓ OrdinaryDiffEqPRK
  13346.5 ms  ✓ OrdinaryDiffEqFeagin
  13447.9 ms  ✓ OrdinaryDiffEqSymplecticRK
  20012.7 ms  ✓ SimpleNonlinearSolve
  14351.9 ms  ✓ OrdinaryDiffEqExplicitRK
  14748.7 ms  ✓ OrdinaryDiffEqHighOrderRK
  15036.7 ms  ✓ OrdinaryDiffEqRKN
  15051.4 ms  ✓ OrdinaryDiffEqStabilizedRK
  16523.6 ms  ✓ OrdinaryDiffEqFunctionMap
  17867.7 ms  ✓ OrdinaryDiffEqSSPRK
   4028.2 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
  18351.7 ms  ✓ OrdinaryDiffEqLowOrderRK
  10622.7 ms  ✓ OrdinaryDiffEqQPRK
   7624.3 ms  ✓ OrdinaryDiffEqLinear
  22667.7 ms  ✓ OrdinaryDiffEqTsit5
   9575.5 ms  ✓ OrdinaryDiffEqLowStorageRK
   5115.9 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
  10840.2 ms  ✓ OrdinaryDiffEqDifferentiation
   2280.1 ms  ✓ OrdinaryDiffEqNordsieck
   2316.6 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
  40562.9 ms  ✓ NonlinearSolveQuasiNewton
   7049.5 ms  ✓ OrdinaryDiffEqExponentialRK
   7831.7 ms  ✓ OrdinaryDiffEqExtrapolation
   2528.3 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  54293.7 ms  ✓ NonlinearSolveFirstOrder
  47979.4 ms  ✓ OrdinaryDiffEqVerner
  27991.6 ms  ✓ OrdinaryDiffEqRosenbrock
  13642.0 ms  ✓ NonlinearSolve
   3447.8 ms  ✓ OrdinaryDiffEqNonlinearSolve
   3710.9 ms  ✓ OrdinaryDiffEqIMEXMultistep
   3776.4 ms  ✓ OrdinaryDiffEqStabilizedIRK
   4175.9 ms  ✓ OrdinaryDiffEqPDIRK
   4981.4 ms  ✓ OrdinaryDiffEqSDIRK
   9910.8 ms  ✓ OrdinaryDiffEqBDF
  17647.5 ms  ✓ OrdinaryDiffEqFIRK
  21609.3 ms  ✓ OrdinaryDiffEqDefault
   3639.7 ms  ✓ OrdinaryDiffEq
  211 dependencies successfully precompiled in 211 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.5 --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 858.95
	System time (seconds): 58.67
	Percent of CPU this job got: 335%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:33.63
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2172620
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 909
	Minor (reclaiming a frame) page faults: 15575133
	Voluntary context switches: 37338
	Involuntary context switches: 69487
	Swaps: 0
	File system inputs: 264
	File system outputs: 1557472
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
